id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-14452,2025-01-21,Vente,398200,9,RUE DE PICARDIE,027020000C0218,Maison,200,3.192134,49.82911
2025-14452,2025-01-21,Vente,398200,9,RUE DE PICARDIE,027020000C0218,Maison,200,3.192134,49.82911
2025-18588,2025-06-24,Vente,120000,19,RES DU MOULIN DE BERLEMONT,02702000ZN0043,Maison,100,3.200923,49.832006
2025-18601,2025-06-27,Vente,260000,9,RUE DE LA GARE,027020000C0584,Maison,198,3.193044,49.832605
2025-18601,2025-06-27,Vente,260000,9,RUE DE LA GARE,027020000C0584,Maison,198,3.193044,49.832605
2025-19992,2025-08-18,Vente,271400,17,RUE DE LA LIBERTE,027020000C0811,Maison,126,3.196699,49.831275
2025-21143,2025-09-17,Vente,455620,14,RUE DE LA CORDERIE,027020000C0498,Maison,176,3.192328,49.831814
2025-22798,2025-11-18,Vente,94000,34,RUE DE PICARDIE,027020000C0290,Maison,48,3.187509,49.829601
2024-13874,2024-02-12,Vente,25000,8,RUE DE LA CORDERIE,027020000C0088,Maison,58,3.192607,49.831474
2024-16053,2024-05-21,Vente,182000,8,RUE DU CHAMP GENLIS,027020000C0759,Maison,95,3.187444,49.831616
2024-17742,2024-07-09,Vente,160900,6,RUE DE FONTAINE,027020000C0587,Maison,139,3.194406,49.828192
2023-16846,2023-04-04,Vente,160000,8,RUE DU STADE,027020000C0344,Maison,149,3.188773,49.831081
2023-18088,2023-05-11,Vente,242000,10,RUE DU CHAMP GENLIS,027020000C0745,Maison,99,3.187645,49.831302
2023-23618,2023-12-14,Vente,173500,16,CITE DE L AMITIE,027020000C0564,Maison,120,3.18964,49.82978
2022-21080,2022-04-28,Vente,102000,26,RUE DU STADE,027020000C0630,Maison,91,3.18646,49.830197
2022-21370,2022-05-21,Vente,275000,2,RUE MAIRE,027020000C0198,Maison,150,3.195138,49.82908
2022-21897,2022-05-31,Vente,543500,8,RUE DES ACACIAS,027020000C0251,Maison,334,3.19109,49.828031
2022-21897,2022-05-31,Vente,543500,8,RUE DES ACACIAS,027020000C0251,Maison,334,3.19109,49.828031
2022-24400,2022-08-20,Vente,403400,9,RUE DE PICARDIE,027020000C0218,Maison,200,3.192134,49.82911
2022-24400,2022-08-20,Vente,403400,9,RUE DE PICARDIE,027020000C0218,Maison,200,3.192134,49.82911
2022-25219,2022-09-15,Vente,73500,20,RUE MAIRE,027020000C0664,Maison,74,3.199973,49.829434
2022-27919,2022-12-14,Vente,150000,11,RUE DE LA CORDERIE,027020000C0666,Maison,110,3.191852,49.831455
