id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-751882,2025-02-27,Vente,20000,17,RUE LOUIS BRODEL,594220000A1221,Maison,69,3.315401,50.203161
2025-752051,2025-02-28,Vente,135920,13,RUE JACQUES DUCLOS,594220000A0939,Maison,73,3.321608,50.201343
2025-753563,2025-04-24,Vente,247000,10,RUE JACQUES DUCLOS,594220000A1163,Maison,118,3.321309,50.200377
2025-753563,2025-04-24,Vente,247000,10,RUE JACQUES DUCLOS,594220000A1163,Maison,118,3.321309,50.200377
2025-753854,2025-04-14,Vente,41800,2,RUE JACQUES DUCLOS,594220000A0603,Maison,106,3.319283,50.201449
2025-753991,2025-04-28,Vente,120000,15,RUE DE CAGNONCLES,59422000ZH0119,Maison,171,3.312346,50.197851
2025-753991,2025-04-28,Vente,120000,15,RUE DE CAGNONCLES,59422000ZH0119,Maison,171,3.312346,50.197851
2025-754188,2025-04-30,Vente,96720,21,RUE JACQUES DUCLOS,594220000A0942,Maison,73,3.321583,50.201016
2025-754667,2025-05-14,Vente,200000,34,RUE MALHERBE,594220000A1054,Maison,148,3.31625,50.204574
2025-754667,2025-05-14,Vente,200000,34,RUE MALHERBE,594220000A1054,Maison,148,3.31625,50.204574
2025-759828,2025-10-31,Vente,90000,43,CHS BRUNEHAUT,594220000A0468,Maison,120,3.319574,50.202071
2025-759867,2025-10-31,Vente,120000,2,RUE JEAN JAURES,594220000A0524,Maison,120,3.320125,50.203023
2025-762047,2025-12-15,Vente,115000,10,RUE MALHERBE,594220000A0444,Maison,152,3.317237,50.202632
2024-708460,2024-01-22,Vente,120000,47,CHS BRUNEHAUT,594220000A0527,Maison,150,3.32066,50.20228
2024-709086,2024-02-15,Vente,45000,6,RUE LOUIS BRODEL,594220000A0746,Maison,52,3.315554,50.20224
2024-710317,2024-03-21,Vente,93500,3,RUE MALHERBE,594220000A0709,Maison,86,3.317308,50.201786
2024-711167,2024-05-02,Vente,171000,3,RUE DE L EGLISE,594220000A0706,Maison,81,3.316891,50.20192
2024-714441,2024-08-06,Vente,263350,50,CHS BRUNEHAUT,594220000A0579,Maison,130,3.319825,50.201586
2024-714504,2024-08-29,Vente,110000,16,CHS BRUNEHAUT,594220000A0634,Maison,95,3.315254,50.200338
2024-716626,2024-10-17,Vente,159900,15,RUE MAURICE CAMIER,594220000A0803,Maison,125,3.31407,50.20224
2024-716844,2024-10-21,Vente,283000,8,RUE DU FAUBOURG,594220000A1138,Maison,110,3.313183,50.204146
2024-717124,2024-11-04,Vente,105500,15,RUE MALHERBE,594220000A0680,Maison,102,3.316213,50.203002
2023-787614,2023-03-24,Vente,85000,27,RUE MALHERBE,594220000A0920,Maison,101,3.315592,50.204513
2023-787690,2023-04-03,Vente,200000,32,RUE MALHERBE,594220000A1063,Maison,99,3.316634,50.204359
2023-787690,2023-04-03,Vente,200000,32,RUE MALHERBE,594220000A1063,Maison,99,3.316634,50.204359
2023-789170,2023-05-15,Vente,85000,29,RUE MALHERBE,594220000A0919,Maison,105,3.315555,50.20461
2023-790045,2023-06-23,Vente,320000,5,RUE MAURICE CAMIER,594220000A0811,Maison,95,3.314575,50.201565
2023-790602,2023-06-23,Vente,60000,27,RUE MAURICE CAMIER,594220000A0785,Maison,43,3.312621,50.203366
2023-792180,2023-08-25,Vente,64000,3,RUE DE L EGLISE,594220000A0706,Maison,81,3.316891,50.20192
2023-794110,2023-10-20,Vente,129500,13,RUE JEAN JAURES,594220000A0491,Maison,51,3.319229,50.203899
2022-969324,2022-01-21,Vente,187000,20,RUE MAURICE CAMIER,594220000A0757,Maison,55,3.314027,50.20318
2022-969324,2022-01-21,Vente,187000,20,RUE MAURICE CAMIER,594220000A0757,Maison,118,3.314027,50.20318
2022-970049,2022-03-31,Vente,242000,4,RUE JOLIOT CURIE,59422000ZB0074,Maison,156,3.315288,50.205208
2022-970315,2022-04-19,Vente,58000,31,RUE MALHERBE,594220000A0918,Maison,83,3.31556,50.204697
2022-975073,2022-06-24,Vente,135000,7,RUE DU FAUBOURG,594220000A1140,Maison,152,3.31388,50.204042
2022-975077,2022-06-24,Vente,130000,36,CHS BRUNEHAUT,594220000A0613,Maison,65,3.317572,50.20086
2022-975467,2022-07-13,Vente,183800,17,RUE MALHERBE,594220000A0899,Maison,66,3.315915,50.203506
2022-975857,2022-07-18,Vente,60000,20,RUE JEAN JAURES,594220000A0511,Maison,73,,
2022-979643,2022-11-04,Vente,140000,31,RUE MALHERBE,594220000A0918,Maison,83,3.31556,50.204697
2022-981569,2022-12-30,Vente,69900,20,RUE JEAN JAURES,594220000A1234,Maison,73,3.319685,50.204726
