id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-750579,2025-01-09,Vente,257000,1631,RTE DE ROUBAIX,59335000AA0022,Maison,89,3.395527,50.470323
2025-751500,2025-02-10,Vente,152000,50,RUE BOUCHART,593350000D1400,Maison,114,3.410352,50.479765
2025-751500,2025-02-10,Vente,152000,50,RUE BOUCHART,593350000D1400,Maison,114,3.410352,50.479765
2025-752140,2025-02-14,Vente,160000,1511,RTE DE ROUBAIX,59335000AA0031,Maison,119,3.396816,50.469758
2025-752140,2025-02-14,Vente,160000,1511,RTE DE ROUBAIX,59335000AA0031,Maison,119,3.396816,50.469758
2025-752427,2025-03-21,Vente,403250,20,RUE DE LA GARE,593350000B1027,Maison,83,3.401596,50.466894
2025-752427,2025-03-21,Vente,403250,20,RUE DE LA GARE,593350000B1027,Maison,83,3.401596,50.466894
2025-752709,2025-03-13,Vente,350000,1883,RUE LASSON,593350000C1855,Maison,150,3.400418,50.484827
2025-752709,2025-03-13,Vente,350000,1883,RUE LASSON,593350000C1855,Maison,150,3.400418,50.484827
2025-752803,2025-04-03,Vente,215000,820,RUE LASSON,593350000D1361,Maison,102,3.410508,50.47924
2025-753016,2025-04-04,Vente,256500,376,RUE NEUVE PROLONGEE,593350000B1616,Maison,97,3.391579,50.467942
2025-753474,2025-04-28,Vente,192500,281,RUE DES BUISSONS,593350000B1806,Maison,60,3.403273,50.469509
2025-753474,2025-04-28,Vente,192500,281,RUE DES BUISSONS,593350000B1806,Maison,50,3.403273,50.469509
2025-753474,2025-04-28,Vente,192500,281,RUE DES BUISSONS,593350000B1806,Appartement,25,3.403273,50.469509
2025-753474,2025-04-28,Vente,192500,281,RUE DES BUISSONS,593350000B1806,Maison,50,3.403273,50.469509
2025-754481,2025-05-23,Vente,374000,618,RTE DE ROUBAIX,593350000B1760,Maison,152,3.400721,50.463253
2025-754481,2025-05-23,Vente,374000,618,RTE DE ROUBAIX,593350000B1760,Maison,152,3.400721,50.463253
2025-754545,2025-05-28,Vente,145000,64,RUE DES BUISSONS,593350000B1591,Maison,130,3.4038,50.467317
2025-754545,2025-05-28,Vente,145000,64,RUE DES BUISSONS,593350000B1591,Maison,130,3.4038,50.467317
2025-754924,2025-05-15,Vente,365000,419,RUE DE CHORETTE,593350000D1739,Maison,155,3.418938,50.482468
