id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-751028,2025-01-15,Vente,179000,20,AV DE LA REPUBLIQUE,593480000A0478,Maison,136,3.345186,50.272928
2025-751635,2025-02-10,Vente,141400,25,AV DE BOUCHAIN,593480000A1678,Maison,138,3.333678,50.278103
2025-751635,2025-02-10,Vente,141400,25,AV DE BOUCHAIN,593480000A1678,Maison,51,3.333678,50.278103
2025-752950,2025-03-28,Vente,19963.49,1,RUE VICTOR HUGO,593480000A0840,Maison,129,3.343237,50.272619
2025-753901,2025-04-14,Vente,260000,55,AV DE BOUCHAIN,593480000A1720,Appartement,40,3.330407,50.276734
2025-753901,2025-04-14,Vente,260000,55,AV DE BOUCHAIN,593480000A1720,Appartement,31,3.330407,50.276734
2025-753901,2025-04-14,Vente,260000,55,AV DE BOUCHAIN,593480000A1720,Appartement,39,3.330407,50.276734
2025-753901,2025-04-14,Vente,260000,55,AV DE BOUCHAIN,593480000A1720,Appartement,65,3.330407,50.276734
2025-754738,2025-05-14,Vente,180000,28,RUE DU MARECHAL FOCH,593480000A1236,Maison,165,3.347768,50.274163
2025-757602,2025-08-12,Vente,182000,22,RUE DU MARECHAL LECLERC,593480000A0495,Maison,86,3.344901,50.271006
2025-757602,2025-08-12,Vente,182000,22,RUE DU MARECHAL LECLERC,593480000A0495,Maison,86,3.344901,50.271006
2025-758027,2025-08-20,Vente,160000,32,RUE DE L EGLISE,593480000A0595,Maison,87,3.343113,50.273533
2025-758120,2025-09-10,Vente,20000,1,RUE GUSTAVE ANSART,593480000A0348,Maison,79,3.346562,50.273977
2025-758640,2025-09-29,Vente,133050,21,RUE DU MARECHAL LECLERC,593480000A0444,Maison,100,3.346025,50.271497
2025-761052,2025-11-24,Vente,151899,13,RUE DU MARECHAL LECLERC,593480000A0729,Maison,80,3.344062,50.271772
2025-761685,2025-12-04,Vente,164500,23,RUE ALBERT CALMETTE,593480000A1375,Maison,89,3.350444,50.271223
2024-708554,2024-01-10,Vente,154000,1,RUE DES ECOLES,593480000A0741,Maison,79,3.344936,50.272509
