id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-15816,2025-03-19,Vente,60000,1,RUE DES HAYETTES,02650000AL0050,Maison,79,3.976529,50.026665
2025-21745,2025-10-14,Vente,218500,11,RUE DES HAYETTES,02650000AL0158,Maison,170,3.966607,50.025014
2025-22764,2025-12-02,Vente,126900,4,RUE MARGOT,02650000AB0066,Maison,120,3.98351,50.023205
2025-23765,2025-12-17,Vente,129000,3,RUE DE LA POSTE,02650000AB0043,Maison,83,3.981502,50.02331
2024-14232,2024-02-27,Vente,85000,6,RUE DES HAYETTES,02650000AL0119,Maison,80,3.96529,50.025563
2024-15485,2024-04-23,Vente,100000,10,RUE DE MONSVILLE,02650000AL0131,Maison,96,3.962892,50.026525
2024-16758,2024-06-17,Vente,130000,1,RUE DE MONSVILLE,02650000AK0182,Maison,71,3.963051,50.025867
2024-20412,2024-10-08,Vente,124000,5,RUE DU MOULIN,02650000AL0052,Maison,120,3.977725,50.025691
2023-20961,2023-09-05,Vente,173000,15,RUE DU CIMETIERE,02650000AD0066,Maison,150,3.980249,50.01794
2023-23591,2023-12-08,Vente,125000,9,RUE DE LA MAIRIE,02650000AB0213,Appartement,207,3.98102,50.023756
2022-19816,2022-03-29,Vente,45000,3,RUE DE LA POSTE,02650000AB0043,Maison,83,3.981502,50.02331
2022-20226,2022-04-05,Vente,89000,7,HAM LE PIED DU TERNE,02650000AD0074,Maison,136,3.972824,50.007946
2022-23481,2022-06-21,Vente,80000,16,RUE DES HAYETTES,02650000AK0035,Maison,86,3.96043,50.025759
2022-28356,2022-12-22,Vente,87400,9,RUE DES HAYETTES,02650000AL0155,Maison,128,3.967135,50.025042
