id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-756254,2025-06-26,Vente,53130,10,RUE JEAN BEAUVILLAIN,592130000B0442,Maison,68,3.322519,50.144682
2025-757680,2025-08-05,Vente,156000,2,RUE DES BELOTTES,592130000B0240,Maison,80,3.322093,50.148615
2025-758294,2025-09-03,Vente,345000,2,RUE DE L EGLISE,592130000B0264,Maison,150,3.320108,50.149395
2024-708842,2024-02-08,Vente,220000,7,RUE DE L EGLISE,592130000B0600,Maison,99,3.320554,50.147868
2024-708842,2024-02-08,Vente,220000,7,RUE DE L EGLISE,592130000B0600,Maison,99,3.320554,50.147868
2024-709816,2024-03-20,Vente,206850,11,RUE JEAN BEAUVILLAIN,592130000B0457,Maison,129,3.321319,50.144341
2024-712271,2024-06-06,Vente,52700,13,RUE DU GEN DE GAULLE,592130000B0422,Maison,93,3.32517,50.146756
2024-713251,2024-07-03,Vente,217000,7,RUE PASTEUR,592130000B0793,Maison,167,3.323383,50.14517
2024-713776,2024-07-30,Vente,169800,5,RUE DE LA HERSE,592130000B0250,Maison,108,3.321174,50.148382
2024-714483,2024-08-09,Vente,217000,28,RUE DU GEN DE GAULLE,592130000B0865,Maison,126,3.323805,50.146521
2024-714483,2024-08-09,Vente,217000,28,RUE DU GEN DE GAULLE,592130000B0865,Maison,126,3.323805,50.146521
2024-716810,2024-10-15,Vente,219000,6,RUE PASTEUR,592130000B0784,Maison,122,3.323629,50.145768
2023-785395,2023-01-19,Vente,145000,10,RTE NATIONALE,59213000ZH0093,Maison,81,3.325141,50.153708
2023-790195,2023-07-03,Vente,160000,11,RUE DU GEN DE GAULLE,592130000B0419,Maison,125,3.325094,50.146852
2023-790213,2023-06-20,Vente,91500,15,RUE DES BELOTTES,592130000B0557,Maison,65,3.321981,50.147186
2023-791494,2023-07-21,Vente,282800,16,RUE NOTRE DAME,592130000B0325,Maison,142,3.323685,50.148529
2023-794281,2023-11-10,Vente,191300,7,RUE DES BELOTTES,592130000B0959,Maison,118,3.322216,50.148082
2023-794790,2023-11-15,Vente,244350,4,RUE DES BELOTTES,592130000B0974,Maison,134,3.321765,50.148046
2023-795773,2023-12-22,Vente,38000,5132,RTE NATIONALE,59213000ZE0044,Maison,96,3.329383,50.153144
2022-969772,2022-03-04,Vente,191000,11,RUE JEAN BEAUVILLAIN,592130000B0457,Maison,129,3.321319,50.144341
2022-970147,2022-04-08,Vente,127000,5,RUE JEAN BEAUVILLAIN,592130000B0823,Maison,73,3.321537,50.144772
2022-970274,2022-04-07,Vente,59000,8,RUE DU GEN DE GAULLE,592130000B0394,Maison,106,3.324872,50.147726
2022-978925,2022-10-12,Vente,143000,25,RUE DU GEN DE GAULLE,592130000B0431,Maison,65,3.324712,50.146225
2022-980363,2022-11-18,Vente,237670,6,RUE REIMBOLD D ESTOURMEL,592130000B0637,Maison,121,3.319485,50.146901
2022-980363,2022-11-18,Vente,237670,6,RUE REIMBOLD D ESTOURMEL,592130000B0637,Maison,121,3.319485,50.146901
2022-981077,2022-12-01,Vente,138200,8,RUE DES BELOTTES,592130000B0911,Maison,100,3.321186,50.14664
2022-981077,2022-12-01,Vente,138200,8,RUE DES BELOTTES,592130000B0911,Maison,100,3.321186,50.14664
