id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-22951,2025-12-02,Vente,68000,18,RUE DES BUTTES,02635000AB0185,Maison,74,3.329897,49.956085
2023-18782,2023-06-22,Vente,138000,10,RUE DE LA HAUT,02635000AB0038,Maison,120,3.327103,49.959787
2023-24022,2023-12-19,Vente,145000,25,RUE DES BUTTES,02635000AB0176,Maison,157,3.330881,49.955614
2022-22104,2022-06-02,Vente,132000,2,RUE DE LA HAUT,02635000AB0002,Maison,127,3.32843,49.959266
2022-24076,2022-07-04,Vente,342500,4,RUE DES BUTTES,02635000AB0159,Maison,170,3.329273,49.957955
2022-28985,2022-09-21,Adjudication,59000,15,RUE DES BUTTES,02635000AB0232,Maison,135,3.330266,49.956514
2022-28985,2022-09-21,Adjudication,59000,15,RUE DES BUTTES,02635000AB0232,Maison,135,3.330266,49.956514
