id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-16283,2025-03-26,Vente,310000,13,ALL DES PEUPLIERS,023030000A0728,Maison,87,3.252654,49.868918
2025-16283,2025-03-26,Vente,310000,13,ALL DES PEUPLIERS,023030000A0728,Maison,87,3.252654,49.868918
2025-17150,2025-04-29,Vente,356500,24,RUE PABLO PICASSO,023030000A0968,Maison,136,3.256925,49.865577
2025-19269,2025-07-11,Vente,326650,4,RUE PABLO PICASSO,023030000A0982,Maison,172,3.255873,49.86395
2025-19269,2025-07-11,Vente,326650,4,RUE PABLO PICASSO,023030000A0982,Maison,172,3.255873,49.86395
2025-22527,2025-10-29,Vente,270000,36,RUE PABLO PICASSO,023030000A0942,Maison,112,3.255304,49.864898
2025-23602,2025-12-20,Vente,239500,1,ALL DES PEUPLIERS,023030000A0646,Maison,165,3.252166,49.867088
2024-12858,2024-01-10,Vente,213000,15,RUE PIERRE CURIE,02303000ZL0078,Maison,96,3.249318,49.867134
2024-14767,2024-03-26,Vente,115000,3,RUE PIERRE CURIE,023030000B0349,Maison,68,3.250846,49.866616
2024-15064,2024-04-04,Vente,298000,8,ALL DES PEUPLIERS,023030000A0597,Maison,201,3.253794,49.867929
2024-15064,2024-04-04,Vente,298000,8,ALL DES PEUPLIERS,023030000A0597,Maison,201,3.253794,49.867929
2024-15853,2024-05-11,Vente,233850,22,RUE LOUIS PASTEUR,023030000A0338,Maison,201,3.247431,49.870276
2024-17023,2024-06-15,Vente,34000,29,RUE QUENTIN DE LA TOUR,023030000A0480,Maison,60,3.244888,49.868249
2024-18506,2024-08-26,Vente,215300,12,RUE QUENTIN DE LA TOUR,023030000A0327,Maison,112,3.246491,49.869126
2024-19629,2024-10-14,Vente,179000,17,RUE PAUL GAUGUIN,02303000ZI0081,Maison,94,3.250653,49.870834
2024-20747,2024-11-27,Vente,269900,21,RUE HENRI MATISSE,02303000ZI0091,Maison,145,3.249786,49.871087
2023-15992,2023-03-02,Vente,347500,19,ALL DES CHARMES,023030000A0572,Maison,121,3.257485,49.867677
2023-15992,2023-03-02,Vente,347500,19,ALL DES CHARMES,023030000A0572,Maison,121,3.257485,49.867677
2023-16746,2023-04-01,Vente,253200,24,RUE DE SAINT QUENTIN,023030000B0072,Maison,106,3.25231,49.866009
2023-19893,2023-07-21,Vente,600000,4,ALL DES CHATAIGNIERS,023030000A0935,Maison,182,3.257255,49.865924
2023-19893,2023-07-21,Vente,600000,4,ALL DES CHATAIGNIERS,023030000A0935,Maison,182,3.257255,49.865924
2023-22691,2023-11-02,Vente,418000,8,ALL DES CHARMES,023030000A0551,Maison,188,3.254316,49.865952
2023-22691,2023-11-02,Vente,418000,8,ALL DES CHARMES,023030000A0551,Maison,188,3.254316,49.865952
2023-23553,2023-11-28,Vente,65000,8,RUE QUENTIN DE LA TOUR,023030000A0330,Maison,82,3.247531,49.869295
2023-23625,2023-12-04,Vente,340000,32,ALL DES CHARMES,023030000A0567,Maison,182,3.258247,49.868687
2023-23625,2023-12-04,Vente,340000,32,ALL DES CHARMES,023030000A0567,Maison,182,3.258247,49.868687
2022-17698,2022-01-04,Vente,215000,13,ALL DES PEUPLIERS,023030000A0728,Maison,87,3.252654,49.868918
2022-17698,2022-01-04,Vente,215000,13,ALL DES PEUPLIERS,023030000A0728,Maison,87,3.252654,49.868918
2022-17932,2022-01-29,Vente,274000,1,RUE DE L EPINETTE,023030000B0348,Maison,95,3.250656,49.866211
2022-18895,2022-02-23,Vente,177450,12,RUE HENRI MATISSE,02303000ZI0074,Maison,108,3.251024,49.871301
2022-18998,2022-03-03,Vente,244000,1,RUE PIERRE CURIE,023030000B0066,Maison,109,,
2022-18998,2022-03-03,Vente,244000,1,RUE PIERRE CURIE,023030000B0066,Maison,90,,
2022-19239,2022-03-11,Vente,200000,9,RUE PAUL GAUGUIN,02303000ZI0088,Maison,102,3.250831,49.870498
2022-19559,2022-03-11,Vente,232139.89,9,RUE PAUL GAUGUIN,02303000ZI0088,Maison,102,3.250831,49.870498
2022-20316,2022-03-29,Vente,230000,17,ALL DES TILLEULS,023030000A0651,Maison,139,3.256296,49.869892
2022-20316,2022-03-29,Vente,230000,17,ALL DES TILLEULS,023030000A0651,Maison,139,3.256296,49.869892
2022-20488,2022-04-01,Vente,440000,1,ALL DES MERISIERS,023030000A0578,Maison,266,3.25483,49.866385
2022-20488,2022-04-01,Vente,440000,1,ALL DES MERISIERS,023030000A0578,Maison,266,3.25483,49.866385
2022-21523,2022-04-07,Vente,321000,1,RUE PABLO PICASSO,023030000A0956,Maison,126,3.256806,49.865204
2022-22335,2022-06-09,Vente,290000,5,ALL DES PEUPLIERS,023030000A0676,Maison,144,3.25245,49.867716
2022-24002,2022-07-28,Vente,144000,1,RUE PIERRE CURIE,023030000B0359,Maison,90,3.251551,49.866674
2022-24002,2022-07-28,Vente,144000,1,RUE PIERRE CURIE,023030000B0359,Maison,109,3.251551,49.866674
2022-24329,2022-08-09,Vente,370000,9,ALL DES PINS,023030000A0658,Maison,205,3.25793,49.869186
2022-24329,2022-08-09,Vente,370000,9,ALL DES PINS,023030000A0658,Maison,205,3.25793,49.869186
2022-26085,2022-10-05,Vente,331000,8,RUE LEONARD DE VINCI,02303000ZL0045,Maison,144,3.248284,49.866476
2022-28922,2022-12-30,Vente,390000,5,RUE LOUIS PASTEUR,023030000A0933,Maison,102,3.249299,49.868609
