id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-750817,2025-01-03,Vente,120000,3,RLE DES JARDINIERS,59430000AE0196,Maison,99,3.509131,50.14093
2025-750817,2025-01-03,Vente,120000,3,RLE DES JARDINIERS,59430000AE0196,Maison,99,3.509131,50.14093
2025-751319,2025-02-14,Vente,97000,9,RUE DES VOUTES,59430000AB0380,Maison,100,3.511062,50.14261
2025-751782,2025-02-19,Vente,50000,17,RUE DE MONTAY,59430000AD0039,Maison,60,3.511631,50.139174
2025-752303,2025-03-01,Vente,170000,1,CHE TORTU,59430000AB0359,Maison,106,3.510472,50.145883
2025-752897,2025-03-27,Vente,70000,9,RUE DU CENTRE,59430000AD0305,Maison,100,3.511502,50.140806
2025-753477,2025-04-04,Vente,68000,17,RUE DE TROISVILLES,59430000AE0161,Maison,90,3.505559,50.139068
2025-754071,2025-04-29,Vente,40000,38,RUE DE LA REPUBLIQUE,59430000AB0248,Maison,70,3.507915,50.14193
2025-754360,2025-05-12,Vente,21200,7,RLE DU CIMETIERE,59430000AB0378,Maison,50,3.510117,50.144304
2025-754448,2025-04-30,Vente,7000,1,RUE DE L EGALITE,59430000AE0134,Maison,62,3.509748,50.139316
2025-754745,2025-05-19,Vente,119300,19,RUE DE LA LIBERTE,59430000AC0192,Maison,50,3.512926,50.143458
2025-754745,2025-05-19,Vente,119300,23,RUE DE LA LIBERTE,59430000AC0194,Maison,50,3.513053,50.143392
2025-755684,2025-06-19,Vente,167500,5,RUE DES TILLEULS,59430000AC0354,Maison,139,3.513459,50.142046
2025-757536,2025-08-04,Vente,201000,6,RUE DE L EGALITE,59430000AE0106,Maison,148,3.509087,50.139744
2025-757806,2025-08-26,Vente,40000,38,RUE DE LA POSTE,59430000AB0045,Maison,60,3.509057,50.144351
2025-758141,2025-09-08,Vente,242000,19,RTE NATIONALE,59430000AB0017,Maison,311,3.512279,50.144607
2025-758323,2025-08-29,Vente,40000,9,RUE DE LA LIBERTE,59430000AB0096,Maison,70,3.511612,50.143662
2025-758527,2025-09-05,Vente,78000,29,RTE NATIONALE,59430000AC0018,Maison,139,3.514141,50.143799
2025-759885,2025-10-15,Vente,10000,27,RUE DE LA REPUBLIQUE,59430000AB0236,Maison,42,3.508856,50.141844
2025-760228,2025-11-05,Vente,108850,12,RUE DE LA LIBERTE,59430000AC0198,Maison,95,3.512774,50.143056
2025-760497,2025-11-17,Vente,49000,8,RUE DE LA POSTE,59430000AB0305,Maison,80,3.509741,50.14386
2025-761868,2025-12-30,Vente,228000,12,RUE DE TROISVILLES,59430000AE0235,Maison,118,3.50441,50.139007
2025-761868,2025-12-30,Vente,228000,12,RUE DE TROISVILLES,59430000AE0235,Maison,118,3.50441,50.139007
2025-762252,2025-12-18,Vente,91000,7,RTE NATIONALE,59430000AB0028,Maison,118,3.510485,50.145152
2024-708173,2024-01-10,Vente,144000,41,RUE DE LA LIBERTE,59430000AC0157,Maison,130,3.514552,50.142396
2024-708476,2024-01-25,Vente,22000,4,RUE DE LA LIBERTE,59430000AC0201,Maison,70,3.512154,50.143159
2024-709820,2024-03-14,Vente,79000,22,RUE DE LA POSTE,59430000AB0061,Maison,50,3.509035,50.14399
2024-709820,2024-03-14,Vente,79000,22,RUE DE LA POSTE,59430000AB0061,Maison,48,3.509035,50.14399
