id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-14113,2025-01-07,Vente,68000,21,RUE D AUVERGNE,02359000ZH0071,Maison,60,3.268462,49.81288
2025-14232,2025-01-22,Vente,21000,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,22,3.262735,49.813522
2025-14504,2025-01-15,Vente,69000,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,55,3.262735,49.813522
2025-14505,2025-01-14,Vente,145000,7,RUE DE PROVENCE,023590000A0481,Maison,105,3.265674,49.811021
2025-16021,2025-04-02,Vente,53000,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,38,3.262735,49.813522
2025-16659,2025-04-16,Vente,224000,1,RUE DE SAVOIE,02359000ZH0068,Maison,81,3.268948,49.812656
2025-16696,2025-04-08,Vente,254000,28,RUE DU POITOU,02359000ZH0238,Maison,131,3.270495,49.813928
2025-17069,2025-04-16,Vente,219900,23,RUE DU POITOU,02359000ZH0241,Maison,70,3.269787,49.813826
2025-17305,2025-04-29,Vente,43000,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,38,3.262735,49.813522
2025-17784,2025-05-15,Vente,220000,16,RUE DE PICARDIE,02359000AB0030,Maison,124,3.264186,49.817769
2025-18197,2025-06-27,Vente,192000,9,RUE DE SAVOIE,02359000ZH0099,Maison,170,3.269789,49.812881
2025-18360,2025-06-13,Vente,120000,12,RUE D ALSACE LORRAINE,02359000ZH0198,Maison,99,3.26753,49.814053
2025-18840,2025-06-20,Vente,55000,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,39,3.262735,49.813522
2025-19199,2025-07-11,Vente,48500,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,38,3.262735,49.813522
2025-19445,2025-07-11,Vente,149000,8,RES LES PEUPLIERS,023590000B0241,Maison,90,3.266031,49.809922
2025-20096,2025-08-26,Vente,52500,11,RUE DE NORMANDIE,02359000AB0074,Maison,63,3.266025,49.815446
2025-21716,2025-10-07,Vente,198000,17,RES LE CHAPITRE,023590000A0498,Maison,108,3.261252,49.817082
2025-22053,2025-10-18,Vente,90000,32,RES LES PEUPLIERS,023590000B0265,Maison,75,3.265916,49.808123
2025-22627,2025-11-04,Vente,82000,7,RUE DE FRANCHE COMTE,023590000A0393,Maison,71,3.262754,49.818719
2025-23345,2025-12-16,Vente,151762,9,RUE DE PROVENCE,023590000A0526,Maison,96,3.265447,49.810892
2025-23711,2025-12-20,Vente,128000,16,RUE D ALSACE LORRAINE,02359000ZH0200,Maison,103,3.26775,49.813877
2024-13569,2024-02-13,Vente,48000,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,39,3.262735,49.813522
2024-15000,2024-04-09,Vente,45500,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,38,3.262735,49.813522
2024-15361,2024-04-19,Vente,49500,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,38,3.262735,49.813522
2024-15545,2024-04-20,Vente,145500,52,RUE DE PICARDIE,02359000AB0065,Maison,96,3.264376,49.815376
2024-16106,2024-05-23,Vente,175000,83,RUE DU LIMOUSIN,02359000ZH0399,Maison,79,3.265483,49.818515
2024-16571,2024-06-06,Vente,115000,25,RUE DE BRETAGNE,02359000ZH0130,Maison,79,3.267692,49.813465
2024-17203,2024-07-03,Vente,100000,5,RUE DE FLANDRE,02359000AB0395,Maison,100,3.264781,49.813594
2024-17626,2024-07-01,Vente,105000,42,RUE DE PICARDIE,02359000AB0047,Maison,92,3.263332,49.815972
2024-17626,2024-07-01,Vente,105000,42,RUE DE PICARDIE,02359000AB0047,Maison,55,3.263332,49.815972
2024-17680,2024-07-08,Vente,230000,21,RES LE CHAPITRE,023590000A0516,Maison,115,3.261782,49.817366
2024-17747,2024-07-10,Vente,158000,2,RUE DU LANGUEDOC,023590000A0546,Maison,94,3.264178,49.809235
2024-18012,2024-06-22,Vente,195000,2,RUE DU PERIGORD,02359000ZH0176,Maison,112,3.266878,49.814536
2024-18585,2024-08-29,Vente,131000,25,RES LES PEUPLIERS,023590000B0258,Maison,54,3.265498,49.808767
2024-20237,2024-10-23,Vente,205000,5,RUE DU POITOU,02359000ZH0250,Maison,111,3.267691,49.814818
2024-21933,2024-12-13,Vente,200000,4,RUE DE SAVOIE,02359000ZH0037,Maison,130,3.269883,49.812536
2024-22055,2024-12-28,Vente,58400,1,RUE D AUVERGNE,02359000ZH0098,Maison,60,3.269571,49.8132
2023-15042,2023-01-21,Vente,238000,2,RUE AQUITAINE,02359000ZH0388,Maison,125,3.267046,49.816099
2023-17075,2023-04-04,Vente,73500,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,55,3.262735,49.813522
2023-17974,2023-05-06,Vente,244000,3,RUE DU LANGUEDOC,023590000A0548,Maison,153,3.26468,49.809295
2023-18786,2023-06-22,Vente,105000,13,RUE DE PROVENCE,023590000A0448,Maison,68,3.264898,49.81051
2023-18879,2023-06-17,Vente,174000,61,RUE DU LIMOUSIN,02359000ZH0376,Maison,107,3.267517,49.817297
2023-19764,2023-07-04,Vente,71100,1,RUE DE BRETAGNE,02359000ZH0148,Maison,79,3.268688,49.813609
2023-19849,2023-07-20,Vente,78000,2,RUE DU BEARN,02359000ZH0031,Maison,97,3.269439,49.813518
2023-20373,2023-08-10,Vente,50700,14,RUE D AUVERGNE,02359000ZH0075,Maison,47,3.26837,49.813224
2023-20877,2023-08-10,Vente,46000,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,38,3.262735,49.813522
2023-21089,2023-09-12,Vente,70000,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,55,3.262735,49.813522
2023-21549,2023-09-29,Vente,47000,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,38,3.262735,49.813522
2023-22016,2023-10-11,Vente,56000,3,RUE DE BRETAGNE,02359000ZH0089,Maison,51,3.268724,49.813502
2023-22053,2023-09-27,Vente,222000,5,RUE DU LANGUEDOC,023590000A0549,Maison,129,3.264895,49.809143
2023-23127,2023-11-20,Vente,100000,5,RUE DE PROVENCE,023590000A0021,Maison,109,3.266316,49.811331
2023-23968,2023-12-14,Vente,55000,20,RUE DE FLANDRE,02359000AB0338,Maison,46,3.26658,49.813144
2022-18967,2022-02-18,Vente,72000,28,RUE DE FLANDRE,02359000AB0359,Maison,71,3.267889,49.812936
2022-19426,2022-03-01,Vente,118800,70,RUE DE PICARDIE,02359000AB0114,Maison,85,3.265382,49.812778
2022-19579,2022-03-17,Vente,122000,14,RUE D ALSACE LORRAINE,02359000ZH0199,Maison,99,3.267647,49.813931
2022-20301,2022-03-30,Vente,240000,2,RUE DE SAVOIE,02359000ZH0039,Maison,142,3.269437,49.812298
2022-20712,2022-04-30,Vente,80000,3,RUE DE PICARDIE,02359000AB0011,Maison,80,3.263924,49.81823
2022-20874,2022-04-27,Vente,82500,56,RUE DU LIMOUSIN,02359000ZH0382,Maison,68,3.267397,49.816959
2022-21151,2022-04-27,Vente,143000,14,RES PANORAMA I,02359000ZH0045,Maison,85,3.269692,49.811441
2022-21525,2022-04-29,Vente,62500,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,55,3.262735,49.813522
2022-21747,2022-05-11,Vente,197800,9,RUE AQUITAINE,02359000ZH0360,Maison,101,3.266683,49.816928
2022-22488,2022-06-22,Vente,195000,14,RUE D ILE DE FRANCE,023590000A0028,Maison,98,3.265795,49.811561
2022-23518,2022-07-13,Vente,53000,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,39,3.262735,49.813522
2022-23664,2022-07-13,Vente,293800,43,RUE DE PICARDIE,02359000AB0150,Maison,171,3.26541,49.812144
2022-23721,2022-07-26,Vente,65000,3,RUE DE CHAMPAGNE,023590000B0309,Maison,48,3.267285,49.811239
2022-24301,2022-08-04,Vente,68000,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,55,3.262735,49.813522
2022-24439,2022-08-11,Vente,139000,66,RUE DE PICARDIE,02359000AB0297,Maison,101,3.26487,49.813017
2022-26527,2022-10-04,Vente,52500,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,38,3.262735,49.813522
2022-26986,2022-10-21,Vente,160000,13,RUE DE PICARDIE,02359000AB0226,Maison,62,3.263619,49.817432
2022-27245,2022-11-09,Vente,57000,2,RUE D ILE DE FRANCE,023590000A0066,Appartement,38,3.262735,49.813522
