id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-750800,2025-01-20,Vente,60000,15,RUE DE SERAIN,59191000ZB0107,Maison,70,3.369081,50.03877
2025-751840,2025-02-13,Vente,116000,1,RUE DE PREMONT,59191000ZI0056,Maison,87,3.385218,50.040406
2025-751840,2025-02-13,Vente,116000,3,RUE DE PREMONT,59191000ZI0057,Maison,70,3.385241,50.040198
2025-753302,2025-04-18,Vente,78000,17,RUE FLAQUE AU BOIS,591910000C0278,Maison,105,3.373218,50.045022
2025-753320,2025-04-09,Vente,170250,67,GRAND RUE,591910000C0586,Maison,116,3.373343,50.049887
2025-754826,2025-06-06,Vente,176940,6,RUE DE SERAIN,591910000C0609,Maison,75,3.369017,50.041062
2025-755494,2025-06-13,Vente,70000,3,GPL GRAND PLACE,591910000C0357,Maison,102,3.370907,50.04384
2025-757282,2025-07-30,Vente,160000,1,RUE DE LA RIGUEUR,591910000C0597,Maison,113,3.372203,50.041721
2025-757810,2025-08-11,Vente,100000,10,RUE D AVELU,591910000C0492,Maison,212,3.373444,50.042204
2025-757810,2025-08-11,Vente,100000,10,RUE D AVELU,591910000C0492,Maison,212,3.373444,50.042204
2025-758013,2025-08-22,Vente,155000,24,RUE D AVELU,591910000C0471,Maison,157,3.375777,50.042556
2025-758709,2025-09-19,Vente,55000,28,GRAND RUE,591910000C0643,Maison,95,3.373549,50.048324
2025-759928,2025-10-14,Vente,65000,19,RUE DE CAMBRAI,591910000C0023,Maison,87,3.36847,50.045785
2025-760898,2025-11-18,Vente,160000,12,RUE DE SERAIN,59191000ZB0143,Maison,105,3.367543,50.039436
2025-760898,2025-11-18,Vente,160000,12,RUE DE SERAIN,59191000ZB0143,Maison,105,3.367543,50.039436
2025-761909,2025-12-29,Vente,140000,5,RUE FLAQUE AU BOIS,591910000C0429,Maison,60,3.372677,50.043044
2024-709610,2024-03-13,Vente,134200,1,RUE DU SOLEIL D OR,591910000C0386,Maison,86,3.368288,50.043032
2024-710006,2024-03-22,Vente,86000,6,RUE DE L EGLISE,591910000C0773,Maison,82,3.370671,50.043387
2024-711122,2024-04-18,Vente,42500,25,RUE DE SERAIN,59191000ZB0110,Maison,70,3.370081,50.038536
2024-714206,2024-07-25,Vente,169000,7,RUE FLAQUE AU BOIS,591910000C0430,Maison,41,3.372895,50.043202
2024-714206,2024-07-25,Vente,169000,7,RUE FLAQUE AU BOIS,591910000C0431,Maison,52,3.372781,50.043222
2024-714920,2024-09-02,Vente,60000,13,RUE DE L EGLISE,591910000C0419,Maison,69,3.372474,50.042982
2024-714960,2024-08-23,Vente,129500,71,GR GRAND RUE,591910000C0121,Maison,70,3.374207,50.050532
2024-715719,2024-09-28,Vente,37000,38,GR GRAND RUE,591910000C0638,Maison,74,3.373735,50.048705
2024-716254,2024-10-22,Vente,19925,11,RUE MATHUTIN,591910000C0076,Maison,69,3.370118,50.045666
2024-717762,2024-12-05,Vente,157837,18,GR GRAND RUE,591910000C0238,Maison,119,3.372544,50.045943
2023-785754,2023-01-20,Vente,70000,46,GR GRAND RUE,591910000C0145,Maison,54,3.373848,50.049249
2023-785763,2023-02-01,Vente,5000,18,RUE FLAQUE AU BOIS,591910000C0715,Maison,49,3.373801,50.045085
2023-787190,2023-03-21,Vente,30000,8,RUE DU FLAQUET,591910000C0101,Maison,105,3.369577,50.047679
2023-787602,2023-03-11,Vente,69000,16,RUE MATHUTIN,591910000C0196,Maison,80,3.371176,50.046013
2023-787802,2023-04-03,Vente,20000,1,RUE GABRY,591910000C0568,Maison,107,3.366942,50.041258
