id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-750881,2025-01-28,Vente,345000,5094,QUARTIER DE LA FONTAINE,59597000AA0021,Appartement,401,3.218304,50.198305
2025-750881,2025-01-28,Vente,345000,5094,QUARTIER DE LA FONTAINE,59597000AA0021,Appartement,109,3.218304,50.198305
2025-751075,2025-01-28,Vente,262000,33,RUE DE MARQUETTE,59597000AA0045,Maison,127,3.22207,50.196953
2025-751075,2025-01-28,Vente,262000,33,RUE DE MARQUETTE,59597000AA0045,Maison,127,3.22207,50.196953
2025-751075,2025-01-28,Vente,262000,33,RUE DE MARQUETTE,59597000AA0045,Maison,127,3.22207,50.196953
2025-754626,2025-05-23,Vente,222500,3,RUE DE PICARDIE,595970000U1135,Maison,105,3.22406,50.193168
2025-756043,2025-06-19,Vente,341900,1,RUE DU FOURNIL,59597000AB0146,Maison,145,3.219099,50.192613
2025-757361,2025-08-18,Vente,64990,43,RUE DE MARQUETTE,59597000AA0039,Maison,36,3.22211,50.197434
2025-758129,2025-09-03,Vente,202250,27,RUE DE LA NEUVILLE,59597000AA0227,Maison,94,3.219523,50.194398
2025-758430,2025-09-15,Vente,169000,23,RUE LUCIEN LEVEAUX,59597000AA0157,Maison,75,3.219423,50.195178
2025-758691,2025-09-29,Vente,434226.74,22,RUE DU DUC D'ANJOU,59597000AA0211,Maison,222,3.222188,50.19306
2025-758691,2025-09-29,Vente,434226.74,22,RUE DU DUC D'ANJOU,59597000AA0211,Maison,222,3.222188,50.19306
2025-760273,2025-11-04,Vente,130000,13,RUE JEAN LEBAS,59597000AA0188,Maison,95,3.223071,50.19308
2025-761148,2025-12-04,Vente,149500,23,RUE DE MARQUETTE,59597000AA0051,Maison,96,3.222741,50.196441
2025-761219,2025-11-18,Vente,152000,38,RUE JEAN LEBAS,59597000AA0118,Maison,73,3.221896,50.195231
2025-761821,2025-12-15,Vente,304400,20,RUE LUCIEN LEVEAUX,59597000AB0029,Maison,112,3.217762,50.195868
2024-709943,2024-03-20,Vente,40000,7,RUE PROSPER LELEU,59597000AA0226,Maison,55,3.219727,50.1944
2024-712591,2024-06-13,Vente,40000,17,RUE DE MARQUETTE,59597000AA0093,Maison,99,3.22271,50.195421
2024-712591,2024-06-13,Vente,40000,17,RUE DE MARQUETTE,59597000AA0093,Maison,99,3.22271,50.195421
2024-713433,2024-07-19,Vente,190000,26,RUE DE BORDEAUX,59597000AB0070,Maison,70,3.217639,50.193801
2024-716367,2024-10-30,Vente,300000,5094,QUARTIER DE LA FONTAINE,59597000AA0021,Appartement,109,3.218304,50.198305
2024-716367,2024-10-30,Vente,300000,5094,QUARTIER DE LA FONTAINE,59597000AA0021,Appartement,401,3.218304,50.198305
2024-716862,2024-10-22,Vente,100000,1,RUE DE MARQUETTE,59597000AA0194,Maison,105,3.224093,50.191921
2023-785258,2023-01-16,Vente,260000,5,RUE DE BORDEAUX,59597000AB0045,Maison,100,3.217098,50.195492
2023-787912,2023-04-12,Vente,365000,5,VC RES SAVOIE RUE DE MARQUETT,59597000AA0271,Maison,163,3.223999,50.196804
2023-787912,2023-04-12,Vente,365000,5,VC RES SAVOIE RUE DE MARQUETT,59597000AA0271,Maison,163,3.223999,50.196804
2023-788956,2023-05-16,Vente,55000,20,RUE JEAN LEBAS,59597000AA0109,Maison,70,3.222505,50.194796
2023-789146,2023-05-12,Vente,155700,23,RUE LUCIEN LEVEAUX,59597000AA0157,Maison,75,3.219423,50.195178
2023-789954,2023-06-21,Vente,195000,51,RUE DE MARQUETTE,59597000AA0030,Maison,172,3.221835,50.198019
2023-789954,2023-06-21,Vente,195000,51,RUE DE MARQUETTE,59597000AA0030,Maison,172,3.221835,50.198019
2023-790917,2023-07-20,Vente,238000,14,RUE DU DUC D'ANJOU,59597000AA0215,Maison,125,3.220788,50.193188
2023-791050,2023-07-07,Vente,217000,16,VC RES AUVERGNE RUE DE MARQUE,59597000AA0283,Maison,86,3.223699,50.197994
2023-792035,2023-08-22,Vente,248000,1,VC RES ARBOIS RUE DE MARQUETT,59597000AA0248,Maison,151,3.22367,50.194638
2023-795208,2023-11-16,Vente,192000,19,RUE DE BORDEAUX,59597000AB0060,Maison,115,3.218223,50.194055
2023-795208,2023-11-16,Vente,192000,19,RUE DE BORDEAUX,59597000AB0060,Maison,115,3.218223,50.194055
2022-969217,2022-01-05,Vente,124000,2,RUE DE MARQUETTE,59597000AA0193,Maison,61,3.224269,50.192542
2022-969226,2022-01-10,Vente,217070,3,RUE D'AGEN,59597000AB0047,Maison,114,3.217553,50.19508
2022-969356,2022-01-28,Vente,100000,23,RUE JEAN LEBAS,59597000AA0183,Maison,105,3.222483,50.193536
2022-970197,2022-04-21,Vente,234500,1,RUE DE BOURGOGNE,59597000AA0024,Maison,141,3.221385,50.198896
2022-974812,2022-06-27,Vente,225000,2,RUE D'AGEN,59597000AB0037,Maison,100,3.218244,50.194883
2022-977423,2022-08-30,Vente,135000,38,RUE JEAN LEBAS,59597000AA0118,Maison,73,3.221896,50.195231
2022-977498,2022-09-02,Vente,230000,20,RUE DU DUC D'ANJOU,59597000AA0212,Maison,135,3.221787,50.193044
2022-979665,2022-11-07,Vente,130000,53,RUE JEAN LEBAS,59597000AA0140,Maison,73,3.220878,50.195386
