id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-751815,2025-02-28,Vente,131500,4,RUE DE LA VAUCELETTE,590490000A0275,Maison,86,3.206202,50.062682
2025-759083,2025-10-01,Vente,50000,3,RUE DE LA VAUCELETTE,590490000A0488,Maison,78,3.206517,50.063013
2025-759083,2025-10-01,Vente,50000,3,RUE DE LA VAUCELETTE,590490000A0488,Maison,78,3.206517,50.063013
2025-760790,2025-11-17,Vente,150000,33,RUE DE LA VAUCELETTE,590490000A0009,Maison,51,3.203355,50.064433
2025-761409,2025-11-24,Vente,140000,82,GRANDE RUE,590490000A0051,Maison,103,3.207667,50.062717
2024-713303,2024-07-09,Vente,198900,80,GR GRANDE RUE,590490000A0603,Maison,150,3.207751,50.062552
2024-713303,2024-07-09,Vente,198900,80,GR GRANDE RUE,590490000A0603,Maison,150,3.207751,50.062552
2024-713339,2024-06-26,Vente,165000,2,RTE NATIONALE,590490000A0347,Maison,180,3.213244,50.06303
2024-716464,2024-10-15,Vente,40000,73,GR GRANDE RUE,590490000A0493,Maison,78,3.20695,50.062759
2024-718024,2024-12-16,Vente,29000,4,RUE PASTEUR,590490000A0178,Maison,86,3.204698,50.059533
2023-790038,2023-06-23,Vente,178000,6,GPL GD PLACE,590490000A0201,Maison,122,3.204951,50.060709
2023-790521,2023-07-06,Vente,150000,12,RUE DE LA VAUCELETTE,590490000A0281,Maison,107,3.205245,50.062981
2023-792500,2023-09-11,Vente,31850,31,GR GRANDE RUE,590490000A0181,Maison,49,3.205095,50.059348
2022-969559,2022-02-15,Vente,50000,6,RUE BON,590490000A0098,Maison,59,3.207669,50.060688
2022-969650,2022-02-17,Vente,127000,14,RUE DU CHATEAU,590490000A0525,Maison,100,3.203555,50.062881
2022-970293,2022-04-22,Vente,139000,19,RUE DU VIEUX MOULIN,590490000A0510,Maison,90,3.203114,50.05811
2022-976985,2022-08-22,Vente,70000,53,GR GRANDE RUE,590490000A0253,Maison,92,3.206037,50.061151
2022-977445,2022-09-14,Vente,210000,19,RUE DU CHATEAU,590490000A0705,Maison,106,3.203549,50.06367
2022-977445,2022-09-14,Vente,210000,19,RUE DU CHATEAU,590490000A0705,Maison,106,3.203549,50.06367
2022-977743,2022-09-20,Vente,150000,5,RUE DU VIEUX MOULIN,590490000A0169,Maison,90,3.204469,50.06001
