id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-752080,2025-03-10,Vente,234000,1,RUE DE TAISNIERES,593440000A0383,Maison,192,3.82257,50.171519
2025-752095,2025-03-10,Vente,164000,14,RUE MARCEL RINGEVAL,59344000AK0065,Maison,120,3.833129,50.18196
2025-752473,2025-03-24,Vente,63500,22,RUE DU MONCEAU,593440000A0227,Maison,76,3.832902,50.177891
2025-752609,2025-03-24,Vente,90000,9,RUE DU PACHIS,59344000AK0149,Maison,149,3.834103,50.178873
2025-753052,2025-03-20,Vente,77000,218,RUE DE LA RESISTANCE,59344000AE0011,Maison,64,3.845741,50.190928
2025-753222,2025-03-28,Vente,102500,65,RUE MARCEL RINGEVAL,59344000AK0557,Maison,51,3.829337,50.178223
2025-754006,2025-05-07,Vente,60000,6,RES AZUR,59344000AK0365,Maison,78,3.82833,50.178983
2025-754534,2025-05-22,Vente,83000,19,RES BELLEVUE,59344000AD0261,Maison,95,3.842875,50.190511
2025-754536,2025-05-26,Vente,132000,120,RUE ROGER MARTIN,59344000AH0139,Maison,70,3.843402,50.185576
2025-754609,2025-06-04,Vente,170000,97,RUE EMILE BRASSELET,59344000AC0109,Maison,99,3.836989,50.185746
2025-755498,2025-07-01,Vente,175000,14,RES SALVADOR ALLENDE,59344000AH0261,Maison,108,3.839055,50.186797
2025-755523,2025-06-10,Vente,95000,71,RUE ROGER MARTIN,59344000AH0063,Maison,80,3.842268,50.185701
2025-755565,2025-06-03,Vente,127000,109,RUE EMILE BRASSELET,59344000AC0071,Maison,126,3.836615,50.185087
2025-755569,2025-06-13,Vente,28300,107,RUE FRANCIS DEMAY,59344000AD0059,Maison,40,3.838592,50.189102
2025-755572,2025-05-16,Vente,52000,42,RUE FRANCIS DEMAY,59344000AC0026,Maison,109,3.836205,50.19011
2025-755701,2025-06-27,Vente,141000,15,RES BELLEVUE,59344000AD0265,Maison,122,3.842069,50.191004
2025-756800,2025-07-30,Vente,229500,13,RUE DU DEPOT,59344000AD0141,Maison,81,3.843035,50.19165
2025-756829,2025-07-21,Vente,163500,68,RUE MARCEL RINGEVAL,59344000AK0421,Maison,121,3.830019,50.177874
2025-757780,2025-08-08,Vente,155000,53,RES DIDIER ELOI,59344000AD0438,Maison,92,3.843823,50.191782
2025-757967,2025-09-05,Vente,130000,2,RUE DE LA BRASSERIE,59344000AK0272,Maison,173,3.828966,50.179352
2025-758525,2025-09-29,Vente,85000,100,RUE EMILE BRASSELET,59344000AD0076,Maison,80,3.840552,50.190605
2025-758945,2025-10-08,Vente,65010,54,RES DIDIER ELOI,59344000AD0503,Maison,93,3.845519,50.193517
2025-759660,2025-10-29,Vente,50000,23,RUE RENE LELEU,59344000AH0027,Maison,63,3.838036,50.185532
2025-760541,2025-11-18,Vente,135300,21,RES DIDIER ELOI,59344000AD0457,Maison,103,3.843673,50.192648
2025-761086,2025-12-10,Vente,102000,11,RES BELLEVUE,59344000AD0278,Maison,71,3.842936,50.19113
2025-761596,2025-11-27,Vente,138000,3,RUE EMILE BRASSELET,59344000AD0525,Maison,116,3.843617,50.195285
2025-761606,2025-12-15,Vente,208000,46,RES LES FONTINETTES,593440000A0466,Maison,74,3.825788,50.174126
2025-762032,2025-11-13,Vente,95000,15,RUE DU MOULIN,59344000AK0513,Maison,48,3.832257,50.180149
2025-762032,2025-11-13,Vente,95000,13,RUE DU MOULIN,59344000AK0515,Maison,146,3.832231,50.180089
2024-708140,2024-01-15,Vente,183000,26,RUE EMILE BRASSELET,59344000AD0343,Maison,109,3.843419,50.193606
2024-709043,2024-02-16,Vente,83930,76,RUE D AULNOYE,59344000AB0049,Maison,55,3.824802,50.187423
2024-709043,2024-02-16,Vente,83930,74,RUE D AULNOYE,59344000AB0050,Maison,65,3.824912,50.187272
2024-709863,2024-03-19,Vente,65400,6,RES AZUR,59344000AK0365,Maison,78,3.82833,50.178983
2024-709870,2024-03-15,Vente,70000,102,RUE EMILE BRASSELET,59344000AD0075,Maison,87,3.840414,50.190539
2024-710806,2024-04-25,Vente,140000,5,IMP GILBERT MAY,59344000AD0707,Maison,68,3.842045,50.190056
2024-710993,2024-04-19,Vente,65000,3,RES AZUR,59344000AK0362,Maison,85,3.828544,50.178855
2024-711465,2024-05-13,Vente,200000,18,RUE DE CAMPIN,59344000AH0374,Maison,109,3.843147,50.188212
2024-711507,2024-05-03,Vente,226000,6,RUE MARCEL RINGEVAL,59344000AI0004,Maison,115,3.836217,50.182902
2024-711507,2024-05-03,Vente,226000,6,RUE MARCEL RINGEVAL,59344000AI0004,Maison,115,3.836217,50.182902
2024-712865,2024-07-08,Vente,35000,3,RUE DU MONCEAU,59344000AK0309,Maison,41,3.831741,50.178233
2024-713421,2024-06-27,Vente,62000,19,RUE RENE LELEU,59344000AH0025,Maison,87,3.838092,50.185618
2024-713935,2024-07-25,Vente,121000,23,RES AZUR,59344000AK0382,Maison,108,3.828126,50.178394
2024-714046,2024-07-15,Vente,37500,15,RES AZUR,59344000AK0374,Maison,114,3.827536,50.178754
2024-714253,2024-07-26,Vente,137200,7,IMP GILBERT MAY,59344000AD0706,Maison,68,3.842287,50.189969
2024-714928,2024-08-20,Vente,195000,41,RUE DU MOULIN,59344000AK0473,Maison,112,3.835806,50.180083
2024-716057,2024-09-24,Vente,61000,33,RUE RENE LELEU,59344000AH0033,Maison,96,3.837859,50.185223
2024-716757,2024-10-31,Vente,90000,36,RUE FERRER,59344000AD0007,Maison,12,3.838624,50.193231
2024-716792,2024-10-24,Vente,189000,27,RES LES CANARONS,59344000AH0354,Maison,90,3.839996,50.185713
2024-717076,2024-11-08,Vente,60000,2,RUE DU MOULIN,59344000AK0624,Maison,116,3.831175,50.179989
2024-717456,2024-11-05,Vente,90000,24,RUE DU DEPOT,59344000AD0347,Maison,88,3.844528,50.191698
