id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-20841,2025-09-02,Vente,45000,250,RUE D N0 8,020610000B0169,Maison,90,3.456464,50.016159
2025-23301,2025-12-09,Vente,107200,265,RUE DU CAMBRESIS,020610000C0092,Maison,122,3.466459,50.017912
2024-15560,2024-04-17,Vente,65000,631,RUE DU CAMBRESIS,020610000C0119,Maison,90,3.465423,50.020287
2024-15575,2024-04-25,Vente,50000,479,RUE RENE HIDEUX,020610000A0443,Maison,82,3.463318,50.017145
2024-16283,2024-05-29,Vente,105000,650,RUE CHARLES DELHAYE,020610000A0494,Maison,107,3.47382,50.014697
2023-16248,2023-03-08,Vente,217000,139,RUE LINEZ,020610000A0340,Maison,95,3.471939,50.015773
2023-18220,2023-05-22,Vente,8000,265,RUE RENE HIDEUX,020610000A0220,Maison,75,3.466214,50.016908
2023-19562,2023-07-06,Vente,136000,42,RUE LINEZ,020610000A0251,Maison,136,3.470576,50.016033
2023-20025,2023-07-28,Vente,130000,245,RUE D EN BAS,020610000A0415,Maison,121,3.470803,50.012884
2023-20025,2023-07-28,Vente,130000,245,RUE D EN BAS,020610000A0415,Maison,121,3.470803,50.012884
2023-21550,2023-09-28,Vente,69350,217,RUE TOUT Y FAUT,020610000C0043,Maison,72,3.474551,50.019372
2023-23432,2023-12-09,Vente,157000,577,RUE RENE HIDEUX,020610000A0512,Maison,125,3.462144,50.017687
2022-17615,2022-01-20,Vente,55000,78,RUE DE LA GARE,020610000C0077,Maison,144,3.469522,50.016936
2022-17725,2022-01-20,Vente,26391,375,RUE D N0 8,020610000B0081,Maison,130,3.4563,50.021678
2022-19922,2022-03-31,Vente,26391,375,RUE D N0 8,020610000B0081,Maison,130,3.4563,50.021678
2022-24240,2022-08-02,Vente,33000,362,RUE DU CAMBRESIS,020610000C0103,Maison,60,3.465108,50.018115
