id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-755795,2025-06-10,Vente,140000,23,RUE DE SAINT QUENTIN,595750000U0718,Maison,109,3.498851,50.264444
2025-758145,2025-09-15,Vente,105000,2,RLE DES HUREES,595750000U0330,Maison,89,3.498365,50.267203
2025-760562,2025-11-21,Vente,248000,10,RTE DE DENAIN,59575000ZC0127,Maison,140,3.498039,50.261039
2025-760562,2025-11-21,Vente,248000,10,RTE DE DENAIN,59575000ZC0127,Maison,140,3.498039,50.261039
2024-708818,2024-02-07,Vente,370000,18,RUE DE VENDEGIES,595750000U1329,Maison,168,3.503546,50.265453
2024-708818,2024-02-07,Vente,370000,18,RUE DE VENDEGIES,595750000U1329,Maison,168,3.503546,50.265453
2023-787082,2023-03-09,Vente,122020,10,RUE DES MARLETTES,595750000U1448,Maison,60,3.498731,50.267541
2023-791674,2023-07-25,Vente,375000,6,RUE DE VENDEGIES,595750000U0641,Maison,157,3.502433,50.26634
2022-969729,2022-02-23,Vente,274000,6,RES LE CLOS DES HAIES,59575000ZC0158,Maison,120,3.49699,50.261267
2022-973362,2022-05-20,Vente,259400,43,RUE DE SAINT QUENTIN,595750000U1381,Maison,140,3.497336,50.263608
2022-973362,2022-05-20,Vente,259400,43,RUE DE SAINT QUENTIN,595750000U1381,Maison,140,3.497336,50.263608
2022-981066,2022-12-12,Vente,40000,51,RUE DE SAINT QUENTIN,595750000U1442,Maison,36,3.496788,50.263355
2022-981409,2022-12-19,Vente,161000,16,RTE DE DENAIN,59575000ZC0088,Maison,105,3.49754,50.260999
