id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-1040677,2025-06-11,Vente,145000,24,RUE DE LA PLACE,804040000A0633,Maison,138,3.080274,50.001335
2025-1042260,2025-08-14,Vente,180000,22,RUE DE L EGLISE,804040000B0647,Maison,91,3.085282,49.993684
2025-1043056,2025-09-05,Vente,105040,32,RUE PAUL LEJEUNE,804040000A0541,Maison,91,3.081322,49.998055
2024-979100,2024-07-23,Vente,134606,10,RUE DU CHATEAU,804040000B0628,Maison,92,3.086042,49.992071
2024-983234,2024-12-02,Vente,200000,18,RUE DU CHATEAU,804040000B0199,Maison,87,3.085273,49.991163
2023-1079888,2023-05-16,Vente,41000,4,RLE DES JARDINS,804040000A0532,Maison,20,3.080899,49.998816
2023-1082637,2023-08-10,Vente,55000,2,RLE DES JARDINS,804040000A0615,Maison,53,3.080506,49.998676
