id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-750685,2025-01-20,Vente,33000,27,RUE VOLTAIRE,59651000AH0268,Maison,77,3.414363,50.327988
2025-752612,2025-03-26,Vente,80000,15,RUE HENRI DURRE,59651000AH0089,Maison,63,3.414704,50.329292
2025-753143,2025-04-16,Vente,77000,22,RUE PAUL LANGEVIN,59651000AI0225,Maison,78,3.411512,50.331483
2025-753723,2025-04-18,Vente,148600,17,RUE GABRIEL PERI,59651000AI0232,Maison,78,3.410784,50.33165
2025-753798,2025-04-17,Vente,46000,30,RUE VOLTAIRE,59651000AH0255,Maison,60,3.41225,50.328319
2025-754369,2025-04-29,Vente,75000,87,RUE CHARLES ISBERGUES,59651000AI0862,Maison,89,3.414376,50.330898
2025-754816,2025-06-03,Vente,145000,36,RUE VOLTAIRE,59651000AH0418,Maison,145,3.412733,50.32817
2025-755950,2025-06-20,Vente,41000,31,RUE JEAN JAURES,59651000AH0217,Maison,60,3.412532,50.330026
2025-755953,2025-06-30,Vente,45000,106,RUE CHARLES ISBERGUES,59651000AD0025,Maison,85,3.4245,50.329522
2025-756413,2025-06-30,Vente,1400000,10,RUE ROGER SALENGRO,59651000AH0078,Maison,64,3.414889,50.329933
2025-756473,2025-06-30,Vente,135000,44,RUE HENRI DURRE,59651000AH0542,Maison,65,3.415635,50.328893
2025-757273,2025-08-06,Vente,133160,37,RUE PAUL LANGEVIN,59651000AI0204,Maison,66,3.412734,50.331532
2025-759379,2025-10-23,Vente,34500,38,RUE ROGER SALENGRO,59651000AH0063,Maison,54,3.414397,50.329797
2025-759469,2025-10-02,Vente,68000,13,RUE AMBROISE CROIZAT,59651000AI0198,Maison,66,3.412416,50.332087
2025-760404,2025-11-05,Vente,101000,1,RUE ROGER SALENGRO,59651000AH0039,Maison,134,3.414941,50.330529
2025-760832,2025-11-26,Vente,67000,23,RUE LOUISE MICHEL,59651000AI0144,Maison,66,3.413035,50.33274
2025-760931,2025-11-14,Vente,65000,6,RUE CHARLES ISBERGUES,59651000AH0180,Maison,84,3.410968,50.329894
2025-760986,2025-12-05,Vente,147427,36,RUE JEAN JAURES,59651000AH0328,Maison,84,3.412972,50.330366
2025-761028,2025-12-05,Vente,35000,94,RUE CHARLES ISBERGUES,59651000AH0028,Maison,80,3.415658,50.330348
2025-761627,2025-12-08,Vente,77000,54,RUE CHARLES ISBERGUES,59651000AH0131,Maison,60,3.413831,50.330503
2025-761898,2025-12-11,Vente,86020,38,RUE JACQUES DUCLOS,59651000AI0669,Maison,77,3.415299,50.332521
2024-708909,2024-02-06,Vente,40000,5,RUE ROGER SALENGRO,59651000AH0043,Maison,76,3.414917,50.330303
2024-709714,2024-03-18,Vente,72000,2,RUE GABRIEL PERI,59651000AI0325,Maison,78,3.411356,50.332997
2024-713032,2024-06-14,Vente,114500,21,RUE PIERRE ET MARIE CURIE,59651000AI0406,Maison,83,3.414096,50.332414
2024-714103,2024-07-30,Vente,115500,37,RUE JACQUES DUCLOS,59651000AI0748,Maison,60,3.414749,50.332512
2024-714322,2024-08-05,Vente,134600,10,RUE PAUL LANGEVIN,59651000AI0231,Maison,89,3.410757,50.331817
