id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-14768,2025-01-21,Vente,154000,31,RUE DE VERVINS,02469000AC0001,Maison,70,3.793999,49.898499
2025-14768,2025-01-21,Vente,154000,31,RUE DE VERVINS,02469000AC0001,Maison,78,3.793999,49.898499
2025-14768,2025-01-21,Vente,154000,31,RUE DE VERVINS,02469000AC0001,Maison,78,3.793999,49.898499
2025-14768,2025-01-21,Vente,154000,31,RUE DE VERVINS,02469000AC0001,Maison,70,3.793999,49.898499
2025-15408,2025-02-17,Vente,120000,12,RUE DE LA POTERIE,02469000AB0091,Maison,65,3.790357,49.905965
2025-16290,2025-04-14,Vente,142500,23,RUE DE L EGLISE,02469000AC0307,Maison,155,3.792641,49.90155
2025-16995,2025-04-30,Vente,160000,8,CHEM DE MARLE,02469000AE0137,Maison,79,3.791583,49.898442
2025-16995,2025-04-30,Vente,160000,8,CHEM DE MARLE,02469000AE0137,Maison,79,3.791583,49.898442
2025-21615,2025-10-06,Vente,60000,25,RUE DE LA POTERIE,02469000AB0134,Maison,85,3.788189,49.904771
2024-16799,2024-06-14,Vente,50000,14,RUE DE SAINT ALGIS,02469000AC0288,Maison,65,3.803334,49.903086
2024-16799,2024-06-14,Vente,50000,14,RUE DE SAINT ALGIS,02469000AC0288,Maison,65,3.803334,49.903086
2024-18549,2024-08-07,Vente,8000,9,RUE DE VERVINS,02469000AB0114,Maison,73,3.790711,49.903526
2024-18549,2024-08-07,Vente,8000,9,RUE DE VERVINS,02469000AB0114,Maison,73,3.790711,49.903526
2024-18648,2024-08-22,Vente,95000,21,RUE DE LA POTERIE,02469000AB0132,Maison,160,3.788682,49.904962
2024-19499,2024-09-23,Vente,20000,1,IMP DES CORBEILLES,02469000AO0129,Maison,51,3.778011,49.902987
2024-19499,2024-09-23,Vente,20000,1,IMP DES CORBEILLES,02469000AO0129,Maison,51,3.778011,49.902987
2024-19499,2024-09-23,Vente,20000,1,IMP DES CORBEILLES,02469000AO0129,Maison,51,3.778011,49.902987
2024-19499,2024-09-23,Vente,20000,1,IMP DES CORBEILLES,02469000AO0129,Maison,51,3.778011,49.902987
2024-20411,2024-11-08,Vente,247500,10,RUE D ERMICHAMP,02469000AD0067,Maison,181,3.784112,49.900712
2024-20411,2024-11-08,Vente,247500,10,RUE D ERMICHAMP,02469000AD0067,Maison,181,3.784112,49.900712
2024-20411,2024-11-08,Vente,247500,12,RUE D ERMICHAMP,02469000AD0230,Maison,57,3.784439,49.9005
2024-21945,2024-12-20,Vente,95000,8,RUE DU REJET,02469000AO0156,Maison,102,3.773304,49.899728
2024-21945,2024-12-20,Vente,95000,8,RUE DU REJET,02469000AO0156,Maison,102,3.773304,49.899728
2023-16423,2023-03-16,Vente,97000,7,RUE DE GOMONT,02469000AD0055,Maison,96,3.778104,49.902284
2023-18545,2023-05-26,Vente,74000,9,RUE DE GUISE,02469000AN0193,Maison,173,3.771602,49.897003
2023-18545,2023-05-26,Vente,74000,9,RUE DE GUISE,02469000AN0193,Maison,173,3.771602,49.897003
2023-19366,2023-06-30,Vente,80000,17,RUE DE LA POTERIE,02469000AB0097,Maison,133,3.789149,49.905235
2023-19722,2023-07-20,Vente,54000,3,RUE DE SAINT ALGIS,02469000AC0044,Maison,26,3.792293,49.905895
2023-24165,2023-12-15,Vente,20180,3,IMP DU CHEMIN RURAL,02469000AB0204,Maison,49,3.783277,49.908193
2023-24165,2023-12-15,Vente,20180,3,IMP DU CHEMIN RURAL,02469000AB0204,Maison,49,3.783277,49.908193
2022-19382,2022-03-11,Vente,100000,7,RUE D ERMICHAMP,02469000AD0156,Maison,400,3.787098,49.902737
2022-20492,2022-04-12,Vente,80000,52,RUE DE LA POTERIE,02469000AB0242,Maison,100,3.78449,49.904889
2022-20492,2022-04-12,Vente,80000,52,RUE DE LA POTERIE,02469000AB0242,Maison,100,3.78449,49.904889
2022-20496,2022-04-15,Vente,213750,3,RUE DE CHIGNY,02469000AB0176,Maison,240,3.781434,49.904922
2022-20496,2022-04-15,Vente,213750,3,RUE DE CHIGNY,02469000AB0176,Maison,240,3.781434,49.904922
2022-21642,2022-05-16,Vente,56000,22,RUE DE VERVINS,02469000AE0119,Maison,70,3.792387,49.89897
2022-24618,2022-08-19,Vente,112000,6,CHEM DE MARLE,02469000AE0157,Maison,90,3.791411,49.898417
2022-24618,2022-08-19,Vente,112000,6,CHEM DE MARLE,02469000AE0157,Maison,90,3.791411,49.898417
2022-25273,2022-09-16,Vente,25000,48,RUE DE LA POTERIE,02469000AB0286,Maison,150,3.785581,49.904914
2022-25273,2022-09-16,Vente,25000,48,RUE DE LA POTERIE,02469000AB0286,Maison,150,3.785581,49.904914
2022-26191,2022-10-11,Vente,266750,3,RUE DE CHIGNY,02469000AB0176,Maison,240,3.781434,49.904922
2022-26191,2022-10-11,Vente,266750,3,RUE DE CHIGNY,02469000AB0176,Maison,240,3.781434,49.904922
2022-27730,2022-12-02,Vente,80000,7,RUE DE L EGLISE,02469000AC0033,Maison,95,3.792245,49.904806
2022-27730,2022-12-02,Vente,80000,7,RUE DE L EGLISE,02469000AC0033,Maison,95,3.792245,49.904806
2022-28463,2022-12-03,Vente,147000,24,RUE DE LA POTERIE,02469000AB0095,Maison,145,3.789083,49.905899
2022-28463,2022-12-03,Vente,147000,24,RUE DE LA POTERIE,02469000AB0095,Maison,145,3.789083,49.905899
