id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-751781,2025-02-28,Vente,55000,17,RUE DU DONJON,594650000B0906,Maison,52,3.599634,50.113599
2025-752868,2025-03-18,Vente,115000,12,RUE DES DRAGONS,594650000B1199,Maison,80,3.599741,50.110925
2025-754846,2025-06-03,Vente,4941.83,6,CHE SAINT ANDRE,59465000ZH0029,Maison,82,3.599588,50.107016
2025-754846,2025-06-03,Vente,4941.83,6,CHE SAINT ANDRE,59465000ZH0029,Maison,82,3.599588,50.107016
2025-754846,2025-06-03,Vente,4941.83,8,CHE SAINT ANDRE,59465000ZH0030,Maison,82,3.599928,50.107079
2025-754846,2025-06-03,Vente,4941.83,8,CHE SAINT ANDRE,59465000ZH0030,Maison,82,3.599928,50.107079
2025-754846,2025-06-03,Vente,4941.83,10,CHE SAINT ANDRE,59465000ZH0031,Maison,82,3.600281,50.107055
2025-754846,2025-06-03,Vente,4941.83,10,CHE SAINT ANDRE,59465000ZH0031,Maison,82,3.600281,50.107055
2025-754847,2025-06-03,Vente,109608.34,11,RUE DU CATEAU,594650000B1129,Maison,37,3.596572,50.111968
2025-754847,2025-06-03,Vente,109608.34,11,RUE DU CATEAU,594650000B1129,Maison,37,3.596572,50.111968
2025-754847,2025-06-03,Vente,109608.34,2,RUE DE BAZUEL,594650000B1929,Maison,32,3.597134,50.112187
2025-754847,2025-06-03,Vente,109608.34,2,RUE DE BAZUEL,594650000B1929,Maison,32,3.597134,50.112187
2025-754847,2025-06-03,Vente,109608.34,2,CHE SAINT ANDRE,59465000ZH0079,Maison,82,3.599037,50.106935
2025-754847,2025-06-03,Vente,109608.34,4,CHE SAINT ANDRE,59465000ZH0081,Maison,82,3.599298,50.106987
2025-754847,2025-06-03,Vente,109608.34,4,CHE SAINT ANDRE,59465000ZH0081,Maison,82,3.599298,50.106987
2025-755664,2025-05-24,Vente,90000,17,RUE DU CATEAU,594650000B1163,Maison,120,3.595653,50.112105
2025-755664,2025-05-24,Vente,90000,17,RUE DU CATEAU,594650000B1163,Maison,120,3.595653,50.112105
2025-761593,2025-12-10,Vente,187400,33,RUE DE FOREST,594650000B0604,Maison,130,3.595204,50.116277
2024-708291,2024-01-24,Vente,155000,30,RUE DE BAZUEL,594650000B1082,Maison,110,3.597445,50.109431
2024-716112,2024-10-08,Vente,201750,7,RES LES AUBEPINES,59465000ZC0182,Maison,121,3.58287,50.110627
2024-716947,2024-10-24,Vente,35000,41,RUE DU CATEAU,594650000B0472,Maison,40,3.592569,50.111201
2024-718346,2024-12-20,Vente,190000,47,RUE DE FOREST,594650000B1248,Maison,169,3.594441,50.117477
2024-718346,2024-12-20,Vente,190000,47,RUE DE FOREST,594650000B1248,Maison,169,3.594441,50.117477
2024-718655,2024-12-18,Vente,160000,52,RUE DE FOREST,594650000B0649,Maison,128,3.595436,50.117207
2023-785494,2023-01-20,Vente,175000,38,RUE DE BAZUEL,594650000B1071,Maison,91,3.597446,50.10829
2023-787429,2023-03-15,Vente,12000,55,RUE DE FOREST,594650000B0641,Maison,24,3.594161,50.118967
2023-788023,2023-04-03,Vente,185500,19,RUE DE FOREST,594650000B1985,Maison,161,3.595064,50.115173
2023-793266,2023-09-15,Vente,138000,18,RUE DE BAZUEL,594650000B1104,Maison,99,3.597565,50.11035
2023-794293,2023-11-02,Vente,180000,5,RUE DES OUICHES,594650000B0999,Maison,91,3.600371,50.110248
2023-794293,2023-11-02,Vente,180000,5,RUE DES OUICHES,594650000B0999,Maison,91,3.600371,50.110248
2022-970099,2022-04-14,Vente,120000,13,RUE DU CATEAU,594650000B1132,Maison,128,3.595995,50.112334
2022-970099,2022-04-14,Vente,120000,13,RUE DU CATEAU,594650000B1132,Maison,25,3.595995,50.112334
2022-974133,2022-06-17,Vente,49000,20,RUE DU DONJON,594650000B0944,Maison,92,3.599706,50.113186
2022-975031,2022-07-12,Vente,58000,22,RUE DES DRAGONS,594650000B1194,Maison,80,3.600276,50.111237
2022-978673,2022-09-26,Vente,183470,16,RUE DU DONJON,594650000B0957,Maison,96,3.599379,50.113115
2022-980816,2022-12-13,Vente,41000,6,PTR PETITE RUE DU CATEAU,594650000B1184,Maison,64,3.592634,50.110749
