id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-752190,2025-03-07,Vente,62000,60,RUE DE L EGALITE,590480000U0294,Maison,58,3.233405,50.230816
2025-752366,2025-03-01,Vente,255400,227,RUE DE LA CITADELLE,590480000U1086,Maison,128,3.228795,50.230883
2025-753345,2025-04-11,Vente,91000,123,RUE D EN HAUT,590480000U0352,Maison,98,3.231112,50.228241
2025-753982,2025-04-23,Vente,110000,69,RUE DES CHANOINES,590480000U0407,Maison,148,3.227697,50.228667
2024-708797,2024-01-18,Vente,170000,58,RUE DU RIVAGE,590480000U1096,Maison,94,3.232562,50.230561
2024-708797,2024-01-18,Vente,170000,58,RUE DU RIVAGE,590480000U1096,Maison,94,3.232562,50.230561
2024-709237,2024-02-21,Vente,212500,60,RUE DE MARQUETTE,590480000U1148,Maison,149,3.231287,50.23004
2024-710441,2024-03-30,Vente,233785,271,RUE DU CALVAIRE,59048000ZA0166,Maison,134,3.231814,50.231817
2024-710441,2024-03-30,Vente,233785,271,RUE DU CALVAIRE,59048000ZA0166,Maison,134,3.231814,50.231817
2024-713750,2024-07-25,Vente,260000,275,RUE D EN HAUT,59048000ZC0095,Maison,157,3.233385,50.227805
2024-713750,2024-07-25,Vente,260000,275,RUE D EN HAUT,59048000ZC0095,Maison,157,3.233385,50.227805
2024-715488,2024-09-04,Vente,170000,58,RUE DU RIVAGE,590480000U1096,Maison,94,3.232562,50.230561
2024-715488,2024-09-04,Vente,170000,58,RUE DU RIVAGE,590480000U1096,Maison,94,3.232562,50.230561
2024-715788,2024-10-07,Vente,141500,190,RUE DES CHANOINES,590480000U1207,Maison,145,3.228443,50.229803
2023-786139,2023-02-06,Vente,265000,405,RUE DE LA CHAPELLE,59048000ZC0259,Maison,110,3.233326,50.226095
2023-786469,2023-02-28,Vente,69000,60,RUE DE L EGALITE,590480000U0294,Maison,58,3.233405,50.230816
2023-789318,2023-05-16,Vente,244150,275,RUE D EN HAUT,59048000ZC0095,Maison,157,3.233385,50.227805
2023-789318,2023-05-16,Vente,244150,275,RUE D EN HAUT,59048000ZC0095,Maison,157,3.233385,50.227805
2023-791784,2023-07-27,Vente,95000,190,RUE DES CHANOINES,590480000U1207,Maison,145,3.228443,50.229803
2023-792050,2023-08-25,Vente,232750,258,RUE DU CALVAIRE,590480000U1004,Maison,85,3.231116,50.231045
2022-969979,2022-04-01,Vente,272400,278,RUE DE LA CHAPELLE,59048000ZC0337,Maison,127,3.231431,50.226771
2022-976320,2022-07-26,Vente,150000,83,RUE DE CAMBRAI,590480000U1098,Maison,80,3.228178,50.227584
2022-977212,2022-09-09,Vente,163000,240,RUE DE CAMBRAI,590480000U0225,Maison,109,3.226109,50.226834
2022-977666,2022-09-27,Vente,138300,87,RUE DE CAMBRAI,59048000ZC0349,Maison,68,3.220774,50.223582
2022-980547,2022-11-15,Vente,174000,31,RUE DE LA CHAPELLE,590480000U0380,Maison,221,3.229112,50.22819
