id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-750636,2025-01-16,Vente,240000,122,RUE JEAN MONNET,59480000ZB0091,Maison,154,3.514097,50.282456
2025-750636,2025-01-16,Vente,240000,122,RUE JEAN MONNET,59480000ZB0091,Maison,154,3.514097,50.282456
2025-750662,2025-01-02,Vente,100000,33,RUE NEUVE,594800000A1331,Maison,93,3.511496,50.285967
2025-752769,2025-04-01,Vente,60000,14,RUE NEUVE,594800000A0358,Maison,70,3.512762,50.284316
2025-753187,2025-04-10,Vente,98500,28,RUE DE SAINT QUENTIN,59480000AA0022,Maison,74,3.511837,50.291932
2025-755605,2025-06-30,Vente,245000,112,RUE JEAN MONNET,59480000ZB0128,Maison,185,3.513781,50.283513
2025-756386,2025-06-27,Vente,135200,4,RUE DU 8 MAI 1945,594800000A0258,Maison,131,3.514164,50.286054
2025-757589,2025-08-21,Vente,190700,138,RUE JEAN MONNET,59480000ZB0081,Maison,103,3.515093,50.280649
2025-758863,2025-09-25,Vente,204000,33,RUE D EN HAUT,594800000A0336,Maison,95,3.515247,50.285394
2025-759128,2025-09-30,Vente,171260,19,RUE D EN HAUT,594800000A0326,Maison,74,3.515373,50.287051
2025-759269,2025-10-08,Vente,140000,24,RUE NEUVE,594800000A0347,Maison,93,3.512557,50.284888
2025-759269,2025-10-08,Vente,140000,24,RUE NEUVE,594800000A0347,Maison,59,3.512557,50.284888
2025-759359,2025-10-20,Vente,382175,2,RUE DES ANCOLIES,594800000A1336,Maison,186,3.511256,50.285053
2025-759951,2025-11-06,Vente,225000,26,RUE DE SAINT QUENTIN,59480000AA0021,Maison,89,3.511809,50.291872
2025-759997,2025-10-27,Vente,256300,9,RUE DE VERCHAIN,59480000ZB0062,Maison,125,3.511053,50.283183
2025-759997,2025-10-27,Vente,256300,9,RUE DE VERCHAIN,59480000ZB0062,Maison,125,3.511053,50.283183
2025-760152,2025-10-29,Vente,179000,10,RUE DU 8 MAI 1945,594800000A0264,Maison,116,3.514282,50.285734
2024-709507,2024-02-26,Vente,37500,12,RUE D EN HAUT,594800000A0282,Maison,74,3.514751,50.286863
2024-710799,2024-04-26,Vente,132000,11,RUE NEUVE,594800000A1393,Maison,107,3.512043,50.284304
2024-710847,2024-04-30,Vente,245000,6,ALL DES BLEUETS,594800000A1321,Maison,76,3.510427,50.284489
2024-712222,2024-06-18,Vente,74000,77,RUE JEAN MONNET,594800000A1137,Maison,127,3.513603,50.285804
2024-712367,2024-06-03,Vente,100000,24,RUE DE SAINT QUENTIN,59480000AA0020,Maison,66,3.511873,50.291705
2024-712610,2024-07-03,Vente,282150,7,RUE DE VERCHAIN,59480000ZB0063,Maison,92,3.51147,50.283174
2024-712610,2024-07-03,Vente,282150,7,RUE DE VERCHAIN,59480000ZB0063,Maison,92,3.51147,50.283174
2024-713278,2024-06-28,Vente,50000,4,RUE DE MAING,59480000AA0105,Maison,87,3.512763,50.29041
2024-713539,2024-07-09,Vente,80000,18,RUE NEUVE,594800000A0352,Maison,59,3.512674,50.284611
2024-716303,2024-10-16,Vente,160000,12,RUE DE MAING,59480000AA0003,Maison,96,3.510347,50.291524
2024-716303,2024-10-16,Vente,160000,12,RUE DE MAING,59480000AA0003,Maison,96,3.510347,50.291524
2024-716981,2024-11-07,Vente,385500,122,RUE JEAN MONNET,59480000ZB0092,Maison,145,3.514034,50.282224
2024-716981,2024-11-07,Vente,385500,122,RUE JEAN MONNET,59480000ZB0092,Maison,145,3.514034,50.282224
2024-718674,2024-12-13,Vente,36000,8,RUE DU 8 MAI 1945,594800000A0262,Maison,80,3.514141,50.285845
2023-786343,2023-02-07,Vente,350000,61,RUE DES AUBEPINES,594800000A0197,Maison,188,3.511395,50.290247
2023-787715,2023-03-29,Vente,81000,10,RUE DE SAINT QUENTIN,59480000AA0013,Maison,66,3.511976,50.29101
2023-788605,2023-04-25,Vente,199000,121,RUE JEAN MONNET,59480000ZA0090,Maison,158,3.515586,50.28144
2023-788605,2023-04-25,Vente,199000,121,RUE JEAN MONNET,59480000ZA0090,Maison,158,3.515586,50.28144
2023-788872,2023-05-24,Vente,187700,39,RUE JEAN MONNET,59480000AB0017,Maison,95,3.514071,50.290216
2023-790779,2023-06-30,Vente,125000,21,RUE NEUVE,594800000A0178,Maison,130,3.511982,50.284754
2023-791563,2023-07-29,Vente,371800,4,RUE DES ANCOLIES,594800000A1335,Maison,139,3.511138,50.285309
2023-791887,2023-08-22,Vente,74000,22,RUE DE SAINT QUENTIN,59480000AA0019,Maison,66,3.511854,50.291646
2023-794974,2023-11-30,Vente,87000,59,RUE JEAN MONNET,594800000A0291,Maison,90,3.513934,50.287483
2023-795758,2023-12-27,Vente,227200,70,RUE JEAN MONNET,594800000A0936,Maison,135,3.513066,50.289971
2023-795758,2023-12-27,Vente,227200,70,RUE JEAN MONNET,594800000A0936,Maison,135,3.513066,50.289971
2023-796226,2023-12-21,Vente,192000,13,RUE D EN HAUT,594800000A0323,Maison,159,3.515407,50.287338
2022-970754,2022-01-28,Vente,243500,10,RUE BONNETTE,594800000A0977,Maison,82,3.514698,50.286214
2022-970754,2022-01-28,Vente,243500,10,RUE BONNETTE,594800000A0977,Maison,82,3.514698,50.286214
2022-971704,2022-03-25,Vente,158000,29,RUE JEAN MONNET,59480000AB0022,Maison,89,3.51437,50.290901
2022-971704,2022-03-25,Vente,158000,29,RUE JEAN MONNET,59480000AB0022,Maison,89,3.51437,50.290901
2022-974075,2022-06-14,Vente,349500,3,RUE DES EGLANTIERS,594800000A1202,Maison,156,3.511129,50.287411
2022-974292,2022-06-09,Vente,293850,9,RUE DES ANCOLIES,594800000A1293,Maison,97,3.510319,50.285904
2022-976530,2022-08-03,Vente,405000,6,RUE DE SOMMAING,59480000ZB0103,Maison,272,3.508144,50.281278
2022-976530,2022-08-03,Vente,405000,6,RUE DE SOMMAING,59480000ZB0103,Maison,272,3.508144,50.281278
2022-977821,2022-09-12,Vente,74000,77,RUE JEAN MONNET,594800000A1137,Maison,127,3.513603,50.285804
2022-978557,2022-10-06,Vente,312100,1,RUE DU 8 MAI 1945,594800000A0269,Maison,138,3.514627,50.285892
2022-979250,2022-10-27,Vente,140000,3,RUE DE L EGALITE,59480000AA0075,Maison,80,3.513043,50.291847
