id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-784782,2025-07-15,Vente,90000,3,RUE DE LA HAUT,62840000AB0180,Maison,114,2.97221,50.107707
2024-742417,2024-12-30,Vente,90000,1,RUE DU FOSSE,62840000AB0164,Maison,85,2.972741,50.105866
2022-1006628,2022-01-13,Vente,112000,6,RUE DU FOSSE,62840000AB0118,Maison,91,2.973739,50.105466
2022-1007985,2022-03-31,Vente,64000,19,RUE DE L EGLISE,62840000AB0109,Maison,92,2.974491,50.104739
2022-1008093,2022-03-31,Vente,105000,3,RUE D HAPLINCOURT,62840000AB0012,Maison,55,2.971891,50.106534
2022-1010359,2022-08-03,Vente,110000,1,RUE DE LA HAUT,62840000AB0211,Maison,92,2.972008,50.108035
2022-1010359,2022-08-03,Vente,110000,1,RUE DE LA HAUT,62840000AB0218,Maison,91,2.972057,50.107965
2022-1012344,2022-11-29,Vente,25000,17,RUE DE L EGLISE,62840000AB0113,Maison,60,2.974491,50.104891
