id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-756023,2025-07-11,Vente,40000,19,RUE DE LA QUEUE NOIR JEAN,595420000B0833,Maison,30,3.878728,50.169387
2025-760438,2025-11-06,Vente,52500,39,RTE D AVESNES,595420000B0394,Maison,72,3.872666,50.167811
2025-760715,2025-11-28,Vente,155000,75,RTE D AVESNES,595420000B0439,Maison,248,3.874427,50.161882
2024-710966,2024-04-17,Vente,228923.27,13,RUE DE SAINT AUBIN,595420000B0557,Maison,90,3.87203,50.172794
2024-710966,2024-04-17,Vente,228923.27,13,RUE DE SAINT AUBIN,595420000B0557,Maison,90,3.87203,50.172794
2024-713552,2024-07-02,Vente,197400,6,RUE DU PLEIN,595420000B0582,Maison,146,3.874113,50.168646
2024-713552,2024-07-02,Vente,197400,6,RUE DU PLEIN,595420000B0582,Maison,146,3.874113,50.168646
2024-714447,2024-08-23,Vente,98000,10,IMP MICLOT,595420000B0665,Maison,78,3.886975,50.174511
2024-715610,2024-09-25,Vente,294000,34,RUE DE SAINT AUBIN,595420000B0098,Maison,258,3.874954,50.172148
2024-715611,2024-09-30,Vente,207675,15,RUE DE LA QUEUE NOIR JEAN,595420000B0266,Maison,160,3.877889,50.169317
2024-718561,2024-12-20,Vente,228300,32,RUE DE LA QUEUE NOIR JEAN,595420000B0657,Maison,166,3.879248,50.169274
2023-791586,2023-08-07,Vente,127000,26,RUE DE DOURLERS,595420000A0435,Maison,102,3.861632,50.193854
2023-791586,2023-08-07,Vente,127000,26,RUE DE DOURLERS,595420000A0435,Maison,102,3.861632,50.193854
2023-791803,2023-08-21,Vente,30000,68,RUE DE SAINT AUBIN,595420000B0221,Maison,68,3.886857,50.172821
2023-793617,2023-10-16,Vente,265900,42,RUE DE DOURLERS,595420000A0460,Maison,133,3.86358,50.193239
2023-793617,2023-10-16,Vente,265900,42,RUE DE DOURLERS,595420000A0460,Maison,133,3.86358,50.193239
2023-794802,2023-11-16,Vente,49000,53,RTE D AVESNES,595420000B0411,Maison,105,3.873338,50.166584
2022-968407,2022-02-18,Vente,213800,2,RUE D ECUELIN,595420000B0761,Maison,126,3.871377,50.173004
2022-972805,2022-05-06,Vente,70000,10,IMP MICLOT,595420000B0665,Maison,78,3.886975,50.174511
2022-974867,2022-07-05,Vente,31200,77,RUE DE SAINT AUBIN,595420000B0202,Maison,125,3.88698,50.173187
2022-974985,2022-07-12,Vente,85400,12,RUE JEAN WILLIOT,595420000B0453,Maison,169,3.875592,50.166972
2022-976360,2022-08-22,Vente,146000,4,RUE DE SAINT AUBIN,595420000B0130,Maison,100,3.869734,50.171694
2022-977368,2022-08-29,Vente,232750,13,RUE DE SAINT AUBIN,595420000B0557,Maison,90,3.87203,50.172794
2022-977368,2022-08-29,Vente,232750,13,RUE DE SAINT AUBIN,595420000B0557,Maison,90,3.87203,50.172794
2022-978123,2022-09-27,Vente,360000,14,RUE DE SAINT AUBIN,595420000B0646,Maison,177,3.871515,50.172429
2022-980877,2022-12-16,Vente,230000,42,RUE DE SAINT AUBIN,595420000B0496,Maison,155,3.876605,50.172147
2022-981476,2022-12-13,Vente,157290,4,RTE D'AULNOYE,595420000B0137,Maison,107,3.868434,50.172129
