id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-21964,2025-10-22,Vente,140000,7,RUE D EN HAUT,02342000AB0014,Maison,134,3.934302,49.916037
2025-23217,2025-11-28,Vente,85000,13,RUE D EN BAS,02342000AB0058,Maison,77,3.934129,49.91263
2024-18553,2024-08-08,Vente,6000,20,RUE D EN HAUT,02342000AB0231,Maison,140,3.934605,49.915395
2024-20750,2024-11-22,Vente,200000,6,RUE MAILLARD,02342000AB0155,Maison,232,3.931816,49.917251
2023-20130,2023-07-28,Vente,165000,9,RUE D EN BAS,02342000AB0062,Maison,110,3.93358,49.91266
2022-24045,2022-07-29,Vente,94000,4,HAM DE SAINT LOT,02342000AH0061,Maison,96,3.935316,49.94539
2022-25130,2022-09-07,Vente,260000,1,RUE MAILLARD,02342000AB0100,Maison,138,3.931438,49.914858
2022-26871,2022-10-27,Vente,138000,13,RUE MAILLARD,02342000AB0151,Maison,95,3.930821,49.917697
