id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-784365,2025-06-25,Vente,163800,13,RUE NEUVE,624210000D0036,Maison,140,3.086637,50.112056
2025-785191,2025-08-21,Vente,130000,17,RUE DES JUIFS,624210000D0076,Maison,86,3.088498,50.1111
2025-786214,2025-10-09,Vente,65000,22,RUE NEUVE,624210000D0147,Maison,70,3.088316,50.112443
2024-737553,2024-01-03,Vente,161500,9,RUE DE DOUAI,624210000D0377,Maison,125,3.083162,50.112868
2024-739701,2024-06-25,Vente,70000,4,RUE DE RIBECOURT,624210000D0386,Maison,66,3.086231,50.10981
2024-740109,2024-07-16,Vente,36900,7,RUE DE GRAINCOURT,624210000D0198,Maison,66,3.084558,50.113296
2024-741583,2024-10-31,Vente,196140,9,RUE DE GRAINCOURT,624210000D0200,Maison,150,3.084831,50.113321
2023-816962,2023-03-23,Vente,207000,3,RUE DU CALVAIRE,624210000D0001,Maison,109,3.087469,50.114124
2023-817163,2023-03-29,Vente,55800,7,RUE DU SUD,624210000D0088,Maison,97,3.088478,50.109567
2023-817924,2023-05-15,Vente,130000,15,RUE DE GRAINCOURT,624210000D0205,Maison,100,3.085567,50.113708
2023-817963,2023-05-19,Vente,197000,7,RUE DE DOUAI,624210000D0496,Maison,200,3.083422,50.112637
2023-819641,2023-09-15,Vente,32000,23,RUE NEUVE,624210000D0042,Maison,70,3.087418,50.112347
2023-819642,2023-09-15,Vente,16000,17,RUE NEUVE,624210000D0039,Maison,60,3.08695,50.11226
2023-820515,2023-11-17,Vente,107000,15,RUE NEUVE,624210000D0037,Maison,157,3.086994,50.112051
2022-1006815,2022-02-02,Echange,136000,8,RUE DE TRESCAULT,624210000C0284,Maison,90,3.0817,50.106564
2022-1007058,2022-02-09,Vente,122000,17,RUE DES JUIFS,624210000D0076,Maison,86,3.088498,50.1111
2022-1009684,2022-06-10,Vente,40000,3,RUE DU SUD,624210000D0117,Maison,132,3.087762,50.109376
2022-1011584,2022-09-30,Vente,97000,1,RUE DU SUD,624210000D0116,Maison,66,3.087586,50.109315
2022-1011679,2022-10-14,Vente,120000,2,RUE DES CATS,624210000D0445,Maison,82,3.085763,50.112053
2022-1012617,2022-12-27,Vente,150000,2,RUE DE GRAINCOURT,624210000D0183,Maison,170,3.084569,50.1118
2022-1012712,2022-12-28,Vente,60000,29,RUE DES JUIFS,624210000D0086,Maison,110,3.088537,50.109784
