id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-751217,2025-02-05,Vente,125000,31,ALL DES GLYCINES,593890000A2427,Maison,106,3.203336,50.110967
2025-751800,2025-02-24,Vente,183000,22,RUE VERTE,593890000A1080,Maison,120,3.206984,50.112548
2025-751892,2025-02-08,Vente,20000,26,RUE SAINTE HELENE,593890000A0846,Maison,68,3.215508,50.111843
2025-752922,2025-03-14,Vente,30000,26,RUE SAINTE HELENE,593890000A0846,Maison,68,3.215508,50.111843
2025-753245,2025-04-16,Vente,75000,4,RLE DU MOULIN,593890000A1833,Maison,72,3.208028,50.112973
2025-753284,2025-04-17,Vente,50000,3,RUE DE CREVECOEUR,593890000A0387,Maison,88,3.210643,50.11602
2025-753776,2025-04-22,Vente,161207,13,ALL DES VIOLETTES,593890000A2436,Maison,110,3.202395,50.110622
2025-753909,2025-04-28,Vente,140000,9,ALL DES JONQUILLES,593890000A2751,Maison,88,3.201485,50.111533
2025-754058,2025-05-09,Vente,80000,3,RLE ROMAIN,593890000A0292,Maison,86,3.210853,50.117578
2025-754275,2025-05-19,Vente,50000,1,RUE D ENFER,593890000A1156,Maison,45,3.206897,50.114792
2025-754673,2025-05-30,Vente,162000,6,ALL DES VIOLETTES,593890000A2453,Maison,83,3.202554,50.111035
2025-755249,2025-05-27,Vente,68000,68,RUE NATIONALE,593890000A0283,Maison,85,3.210251,50.117534
2025-755386,2025-06-10,Vente,103000,103,RUE NATIONALE,593890000A0070,Maison,75,3.210908,50.120977
2025-755700,2025-06-11,Vente,271000,3,IMP DES NOISETIERS,593890000A3335,Maison,146,3.205152,50.107496
2025-755700,2025-06-11,Vente,271000,3,IMP DES NOISETIERS,593890000A3335,Maison,146,3.205152,50.107496
2025-756411,2025-07-08,Vente,261000,1,RUE VERTE,593890000A3245,Maison,152,3.207911,50.11124
2025-756546,2025-07-10,Vente,98000,98,RUE NATIONALE,593890000A1980,Maison,70,3.210938,50.11864
2025-757268,2025-08-11,Vente,116600,17,ALL DES GLYCINES,593890000A2420,Maison,81,3.203676,50.111559
2025-757771,2025-08-20,Vente,62000,55,RUE VERTE,593890000A1383,Maison,80,3.20428,50.112958
2025-758140,2025-09-09,Vente,100800,7,ALL DES VIOLETTES,593890000A2433,Maison,81,3.202827,50.110544
2025-758361,2025-09-15,Vente,34000,40,RUE DE CREVECOEUR,593890000A0448,Maison,60,3.213009,50.115251
2025-758637,2025-09-29,Vente,202000,54,RUE NATIONALE,593890000A0276,Appartement,60,3.210145,50.117159
2025-758637,2025-09-29,Vente,202000,54,RUE NATIONALE,593890000A0276,Appartement,60,3.210145,50.117159
2025-758637,2025-09-29,Vente,202000,54,RUE NATIONALE,593890000A0276,Appartement,60,3.210145,50.117159
2025-758659,2025-09-29,Vente,89200,12,RUE VERTE,593890000A3301,Maison,94,3.208038,50.112005
2025-759134,2025-09-18,Vente,80000,49,RUE NATIONALE,593890000A0147,Maison,80,3.209758,50.117747
2025-759581,2025-10-06,Vente,133200,46,RUE DE MARCOING,593890000A1517,Maison,116,3.206473,50.117771
2025-760295,2025-11-03,Vente,60000,65,RUE NATIONALE,593890000A0139,Maison,73,3.210174,50.118177
2025-760622,2025-11-25,Vente,150000,22,ALL DES TILLEULS,593890000A3319,Maison,100,3.207221,50.107092
2025-760622,2025-11-25,Vente,150000,22,ALL DES TILLEULS,593890000A3319,Maison,100,3.207221,50.107092
2025-761063,2025-11-21,Vente,115000,13,ALL DES COQUELICOTS,593890000A2953,Maison,73,3.203961,50.110228
2025-761390,2025-12-05,Vente,140000,14,ALL DES JONQUILLES,593890000A2748,Maison,88,3.201525,50.111965
2025-761464,2025-12-11,Vente,66600,22,RUE DU CALVAIRE,593890000A1306,Maison,60,3.205592,50.109995
2025-761854,2025-12-23,Vente,105000,4,ALL DES JACINTHES,593890000A2771,Maison,88,3.20069,50.112262
2025-762206,2025-12-30,Vente,75000,76,RUE DE MARCOING,593890000A1524,Maison,43,3.204302,50.118064
2025-762226,2025-12-22,Vente,141200,6,ALL DES JONQUILLES,593890000A2470,Maison,83,3.202873,50.111616
2025-762357,2025-12-22,Vente,100000,48,RUE LAIN,59389000ZO0029,Maison,141,3.206082,50.104359
2025-762357,2025-12-22,Vente,100000,48,RUE LAIN,59389000ZO0029,Maison,141,3.206082,50.104359
2024-708216,2024-01-15,Vente,57000,114,RUE NATIONALE,593890000A0324,Maison,87,3.211337,50.119034
2024-708266,2024-01-22,Vente,135000,58,RUE DE RUMILLY,59389000ZL0072,Maison,80,3.216145,50.118063
2024-709879,2024-03-27,Vente,20000,11,RLE SAINT JEAN,593890000A2314,Maison,86,3.206202,50.113993
2024-710670,2024-03-29,Vente,29592,25,RUE SAINTE HELENE,593890000A0837,Maison,60,3.216137,50.112052
2024-710707,2024-04-23,Vente,45000,97,RUE NATIONALE,593890000A0065,Maison,75,3.210831,50.120714
2024-711403,2024-04-25,Vente,110000,13,CITE DE BERLIN,593890000A3133,Maison,90,3.211489,50.116644
2024-711517,2024-04-30,Vente,38000,3,RUE BENOIT FRACHON,593890000A3460,Maison,28,3.198556,50.120414
2024-711941,2024-06-06,Vente,384000,17,ALL DES CERISIERS,593890000A3274,Maison,186,3.205628,50.109088
2024-711941,2024-06-06,Vente,384000,17,ALL DES CERISIERS,593890000A3274,Maison,186,3.205628,50.109088
2024-712179,2024-06-10,Vente,225000,19,ALL DES CERISIERS,593890000A3275,Maison,98,3.20588,50.109262
2024-712179,2024-06-10,Vente,225000,19,ALL DES CERISIERS,593890000A3275,Maison,98,3.20588,50.109262
2024-712402,2024-06-26,Vente,138400,18,ALL DES BLEUETS,593890000A2920,Maison,89,3.205781,50.111034
2024-712846,2024-07-02,Vente,650000,53,RUE VERTE,593890000A1382,Maison,66,3.204315,50.112844
2024-713099,2024-06-26,Vente,120000,5,RUE DU PREMIER MAI,593890000A0851,Maison,105,3.215278,50.112026
2024-713234,2024-07-04,Vente,124000,7,ALL DES JACINTHES,593890000A2768,Maison,88,3.200549,50.111987
2024-713261,2024-07-11,Vente,157900,10,ALL DES JACINTHES,593890000A2765,Maison,99,3.200392,50.111673
2024-713672,2024-07-17,Vente,235000,33,RUE DE RUMILLY,59389000ZL0053,Maison,94,3.215509,50.119408
2024-713672,2024-07-17,Vente,235000,33,RUE DE RUMILLY,59389000ZL0053,Maison,94,3.215509,50.119408
2024-714239,2024-08-12,Vente,184000,30,ALL DES TILLEULS,593890000A3315,Maison,114,3.207321,50.107831
2024-714241,2024-08-12,Vente,176300,7,IMP DES EGLANTIERS,593890000A3264,Maison,80,3.203827,50.108189
2024-714432,2024-08-22,Vente,139450,34,RUE DE MARCOING,593890000A0187,Maison,116,3.207548,50.117652
2024-714489,2024-08-27,Vente,55000,47,RUE LAIN,593890000A2385,Maison,80,3.20878,50.109241
2024-714489,2024-08-27,Vente,55000,47,RUE LAIN,593890000A2385,Maison,80,3.20878,50.109241
2024-714797,2024-08-14,Vente,150000,28,ALL DES TILLEULS,593890000A3316,Maison,100,3.207251,50.107655
2024-714797,2024-08-14,Vente,150000,28,ALL DES TILLEULS,593890000A3316,Maison,100,3.207251,50.107655
2024-714839,2024-08-13,Vente,74000,8,RLE DU MOULIN,593890000A1095,Maison,98,3.208056,50.112645
2024-715000,2024-09-06,Vente,140000,38,RUE DE RUMILLY,593890000A2235,Maison,78,3.214277,50.117571
2024-715359,2024-08-29,Vente,350000,42,RUE LAIN,593890000A3401,Maison,220,3.206772,50.109818
