id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-782797,2025-03-17,Vente,160000,15,RUE DE BUISSY,620810000B0324,Maison,103,3.048668,50.20697
2025-783347,2025-04-28,Vente,70000,21,RUE DE BUISSY,620810000B0328,Maison,59,3.047894,50.206904
2025-784194,2025-06-12,Vente,65500,5,RUE DE L ABBAYE,620810000B0887,Maison,77,3.057938,50.212105
2025-784904,2025-07-30,Vente,312000,5,GR GRANDE RUE,620810000B0172,Maison,136,3.061776,50.212186
2025-785774,2025-09-29,Vente,208000,23,RUE DE BUISSY,620810000B0329,Maison,119,3.047793,50.206864
2025-785774,2025-09-29,Vente,208000,23,RUE DE BUISSY,620810000B0329,Maison,119,3.047793,50.206864
2025-785888,2025-10-08,Vente,210000,1,RUE DES CROISETTES,620810000B0117,Maison,71,3.05972,50.212486
2024-738174,2024-02-22,Vente,15000,5147,RUE DE SAINS,62081000ZK0098,Maison,68,3.057267,50.201589
2024-740889,2024-09-06,Vente,125000,14,RUE GROTTARD,620810000B0040,Maison,102,3.052024,50.209947
2024-740901,2024-09-10,Vente,30000,6,RUE DE SAINS,62081000ZL0093,Maison,62,3.056114,50.201355
2024-741074,2024-10-10,Vente,50000,6,RUE GROTTARD,620810000B0047,Maison,80,3.052608,50.210023
2024-742094,2024-12-20,Vente,219900,18,GR GRANDE RUE,620810000B0104,Maison,71,3.057846,50.21167
2024-742114,2024-12-19,Vente,121325,55,GR GRANDE RUE,620810000B0238,Maison,95,3.056016,50.210301
2023-817349,2023-04-25,Vente,260150,3,RUE VERTE,620810000B0159,Maison,157,3.063354,50.212625
2023-818826,2023-07-05,Vente,82000,5,RUE GROTTARD,620810000B0283,Maison,100,3.052114,50.209391
2023-820170,2023-10-16,Vente,175000,2,GR GRANDE RUE,620810000B0886,Maison,143,3.061736,50.212673
2022-1007010,2022-02-09,Vente,111000,11,RUE VERTE,620810000B0148,Maison,70,3.064978,50.212596
2022-1007010,2022-02-09,Vente,111000,11,RUE VERTE,620810000B0148,Maison,70,3.064978,50.212596
2022-1007068,2022-02-16,Vente,107800,8,CITE DE LA CAPRIE,62081000ZK0106,Maison,114,3.054525,50.206199
2022-1007848,2022-03-25,Vente,115000,14,RUE GROTTARD,620810000B0040,Maison,102,3.052024,50.209947
2022-1007941,2022-03-28,Vente,73000,6,RTE NATIONALE,62081000ZH0080,Maison,86,3.070306,50.216003
2022-1007941,2022-03-28,Vente,73000,4,RTE NATIONALE,62081000ZH0081,Maison,86,3.070462,50.215926
2022-1008342,2022-04-05,Vente,40856.4,10,RUE DE L ABBAYE,620810000B0808,Maison,425,3.056865,50.212584
2022-1008770,2022-05-23,Vente,367000,51,GR GRANDE RUE,620810000B0770,Maison,221,3.05637,50.210443
2022-1009947,2022-07-18,Vente,294000,3,RUE GROTTARD,620810000B0281,Maison,224,3.052687,50.20966
2022-1010845,2022-09-06,Vente,175000,6,RUE DU GRAND VOISIN,620810000B0880,Maison,126,3.05307,50.209166
2022-1010845,2022-09-06,Vente,175000,6,RUE DU GRAND VOISIN,620810000B0880,Maison,110,3.05307,50.209166
2022-1012043,2022-11-22,Vente,61050,3,RTE NATIONALE,62081000ZI0082,Maison,74,3.059261,50.217688
