id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-752686,2025-03-24,Vente,165000,9001,RUE DE LA FONTAINE GLORIEUSE,593410000C1190,Maison,99,3.262857,50.099201
2025-754634,2025-05-28,Vente,189900,26,RUE DE VAUCELLES,59341000ZH0054,Maison,74,3.262072,50.097422
2025-754634,2025-05-28,Vente,189900,26,RUE DE VAUCELLES,59341000ZH0054,Maison,74,3.262072,50.097422
2025-756540,2025-07-03,Vente,97000,3,RUE DE LA DESSOUS,593410000C0332,Maison,77,3.265152,50.098728
2025-757565,2025-07-29,Vente,95000,4,RUE DE VILLERS OUTREAUX,593410000C0146,Maison,105,3.270205,50.098123
2025-757601,2025-08-27,Vente,90000,18,RUE D OUTRE L EAU,593410000C0278,Maison,95,3.262518,50.100972
2025-758185,2025-08-29,Vente,95500,26,RUE DE CREVECOEUR,59341000ZB0103,Maison,77,3.264683,50.102427
2025-758475,2025-08-29,Vente,80000,16,RUE D OUTRE L EAU,593410000C0279,Maison,90,3.262719,50.100985
2025-758853,2025-10-04,Vente,75000,4,CHE DE MEZIERES,59341000ZM0021,Maison,114,3.284243,50.071559
2025-761234,2025-12-11,Vente,40000,24,RUE DE VAUCELLES,593410000C0313,Maison,112,3.262587,50.097355
2025-761234,2025-12-11,Vente,40000,24,RUE DE VAUCELLES,593410000C0313,Maison,112,3.262587,50.097355
2024-710318,2024-03-21,Vente,30000,6,RUE DE VILLERS OUTREAUX,593410000C0145,Maison,51,3.270491,50.098075
2024-710972,2024-04-30,Vente,160000,3,VCHE VIEUX CHEMIN D'ESNES,59341000ZB0132,Maison,75,3.268251,50.102496
2024-717483,2024-11-18,Vente,250000,14,RUE DE VILLERS OUTREAUX,593410000C1212,Maison,194,3.27161,50.097744
2024-717483,2024-11-18,Vente,250000,14,RUE DE VILLERS OUTREAUX,593410000C1212,Maison,159,3.27161,50.097744
2024-717817,2024-12-09,Vente,469550,22,RUE D OUTRE L EAU,593410000C0295,Maison,371,3.26262,50.100128
2023-785349,2023-01-18,Vente,60000,1,RUE DE LA FONTAINE BOSSUE,593410000C0170,Maison,95,3.271191,50.097756
2023-786555,2023-02-17,Vente,20000,7,RUE D OUTRE L EAU,593410000C0257,Maison,69,3.264862,50.101536
2023-788090,2023-04-21,Vente,29000,19,RUE DE CREVECOEUR,593410000C0233,Maison,65,3.267821,50.101894
2023-789038,2023-05-27,Vente,188000,21,RUE DE CREVECOEUR,593410000C0230,Maison,113,3.267601,50.101984
2023-790851,2023-07-17,Vente,53170,12,RUE D OUTRE L EAU,593410000C0272,Maison,66,3.262966,50.101021
2023-793565,2023-10-13,Vente,75600,22,RUE DE VAUCELLES,593410000C0315,Maison,106,3.262926,50.097411
2022-969672,2022-02-15,Vente,167000,10,RUE D OUTRE L EAU,593410000C0271,Maison,67,3.263162,50.101076
2022-969676,2022-02-24,Vente,160260,3,RUE DES BERCEAUX,593410000C1080,Maison,125,3.267342,50.100544
2022-970030,2022-03-30,Vente,90000,5,RUE DES BERCEAUX,593410000C0376,Maison,100,3.267058,50.100435
2022-970188,2022-04-19,Vente,220000,11,RUE DE VAUCELLES,593410000C1045,Maison,146,3.266524,50.097964
2022-970188,2022-04-19,Vente,220000,11,RUE DE VAUCELLES,593410000C1045,Maison,146,3.266524,50.097964
2022-975689,2022-07-28,Vente,73200,12,RUE DES PRES,593410000C0112,Maison,124,3.275189,50.099942
2022-976283,2022-08-16,Vente,272350,4,RUE DU MOULIN,593410000C0936,Maison,190,3.263743,50.100466
2022-976283,2022-08-16,Vente,272350,4,RUE DU MOULIN,593410000C0936,Maison,190,3.263743,50.100466
2022-976758,2022-08-25,Vente,155000,14,PTR PETITE RUE,593410000C0364,Maison,80,3.265121,50.099721
2022-976758,2022-08-25,Vente,155000,14,PTR PETITE RUE,593410000C0364,Maison,80,3.265121,50.099721
2022-979825,2022-11-07,Vente,222350,1,RUE DES BERCEAUX,593410000C0379,Maison,85,3.267652,50.100466
