id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-750909,2025-01-08,Vente,49000,1063,RES JULES GALLOIS RUE JULES GA,59365000AE0520,Appartement,47,3.964851,50.268882
2025-750952,2025-01-30,Vente,143000,100,RUE JULES GALLOIS,59365000AH0084,Maison,50,3.959157,50.266017
2025-750952,2025-01-30,Vente,143000,98,RUE JULES GALLOIS,59365000AH0085,Maison,45,3.95919,50.266041
2025-750952,2025-01-30,Vente,143000,96,RUE JULES GALLOIS,59365000AH0086,Maison,58,3.959237,50.266072
2025-751260,2025-01-16,Vente,140000,97,RUE JULES GALLOIS,59365000AH0140,Maison,63,3.959472,50.265973
2025-751260,2025-01-16,Vente,140000,97,RUE JULES GALLOIS,59365000AH0141,Maison,26,3.959448,50.26589
2025-751995,2025-03-10,Vente,84000,64,RUE DU GAZOMETRE,59365000AD0122,Maison,55,3.959711,50.271297
2025-752124,2025-03-04,Vente,40000,6,RUE DES BRIQUETERIES,59365000AC0238,Maison,70,3.952233,50.26917
2025-752261,2025-03-18,Vente,208000,29,RTE DE LANDRECIES,593650000B0956,Maison,155,3.953142,50.256653
2025-752261,2025-03-18,Vente,208000,29,RTE DE LANDRECIES,593650000B0956,Maison,155,3.953142,50.256653
2025-752683,2025-03-26,Vente,75000,6,RUE LUCIEN BOUILLOT,59365000AE0073,Maison,66,3.964678,50.268567
2025-752872,2025-04-03,Vente,80000,1,RUE LUCIEN BOUILLOT,59365000AE0221,Maison,69,3.964009,50.268472
2025-752909,2025-04-08,Vente,180000,21,RTE D AVESNES,59365000AH0253,Appartement,18,3.963347,50.264446
2025-752909,2025-04-08,Vente,180000,21,RTE D AVESNES,59365000AH0253,Appartement,23,3.963347,50.264446
2025-752909,2025-04-08,Vente,180000,21,RTE D AVESNES,59365000AH0253,Maison,105,3.963347,50.264446
2025-752909,2025-04-08,Vente,180000,21,RTE D AVESNES,59365000AH0253,Maison,61,3.963347,50.264446
2025-752909,2025-04-08,Vente,180000,21,RTE D AVESNES,59365000AH0253,Appartement,19,3.963347,50.264446
2025-753012,2025-04-11,Vente,60000,15,PL DU GENERAL DE GAULLE,59365000AH0480,Maison,137,3.95978,50.264427
2025-753227,2025-04-17,Vente,129100,7,RUE BEETHOVEN,59365000AI0333,Maison,82,3.955071,50.261766
2025-753248,2025-04-23,Vente,80000,332,RUE JULES GALLOIS,59365000AI0912,Maison,76,3.950102,50.261103
2025-753433,2025-04-22,Vente,102000,1,RUE DU LAC,59365000AI1165,Maison,77,3.952018,50.258409
2025-753691,2025-04-25,Vente,72000,168,RTE D AVESNES,59365000AH0837,Appartement,13,3.961365,50.263242
2025-753691,2025-04-25,Vente,72000,168,RTE D AVESNES,59365000AH0837,Appartement,12,3.961365,50.263242
2025-753691,2025-04-25,Vente,72000,168,RTE D AVESNES,59365000AH0837,Appartement,14,3.961365,50.263242
2025-753729,2025-04-29,Vente,128000,6,RUE JEAN SEBASTIEN BACH,59365000AI1097,Maison,109,3.952466,50.260297
2025-754428,2025-05-20,Vente,900000,9,AV DE MONTFORT EN CHALOSSE,59365000AK0202,Maison,122,3.959621,50.260983
2025-754457,2025-05-26,Vente,143000,14,RUE CITE PLATANES RTE LANDRECI,59365000AM0041,Maison,81,3.945257,50.254142
2025-754632,2025-06-04,Vente,159900,27,AV DE MONTFORT EN CHALOSSE,59365000AI0644,Maison,108,3.953928,50.259121
2025-754646,2025-06-02,Vente,123000,3,RUE JEAN SEBASTIEN BACH,59365000AI1086,Maison,88,3.952673,50.260713
2025-755272,2025-06-24,Vente,102000,3,RUE MOZART,59365000AI0753,Maison,101,3.951776,50.259659
2025-755371,2025-06-25,Vente,98000,6,RUE JEAN JAURES,59365000AH0562,Maison,213,3.957216,50.264891
2025-756676,2025-07-21,Vente,80000,243,RUE D HAUTMONT,59365000AC0372,Maison,77,3.947561,50.266934
2025-757096,2025-07-16,Vente,295000,56,RTE D AVESNES,59365000AE0554,Maison,96,3.964691,50.267048
2025-757191,2025-07-11,Vente,207000,2,RES LES JOURNELS,593650000B0837,Maison,92,3.970947,50.256329
2025-757193,2025-07-18,Vente,73000,84,AV DE MONTFORT EN CHALOSSE,59365000AI0475,Maison,74,3.953943,50.259616
2025-757782,2025-08-28,Vente,163000,135,RUE JULES GALLOIS,59365000AI0135,Maison,44,3.957934,50.264226
2025-757782,2025-08-28,Vente,163000,135,RUE JULES GALLOIS,59365000AI1228,Maison,97,3.957834,50.264228
2025-758149,2025-09-15,Vente,97250,43,RUE BEETHOVEN,59365000AI0368,Maison,104,3.954863,50.260712
2025-758187,2025-09-15,Vente,160000,295,RUE JULES GALLOIS,59365000AI0606,Maison,67,3.948731,50.259762
2025-758227,2025-09-10,Vente,160270,49,AV DE MONTFORT EN CHALOSSE,59365000AI0524,Maison,145,3.952034,50.258985
2025-758342,2025-09-12,Vente,125000,43,AV DE MONTFORT EN CHALOSSE,59365000AI0521,Maison,57,3.95234,50.259011
2025-758363,2025-09-22,Vente,45000,228,RUE JULES GALLOIS,59365000AI1006,Maison,78,3.953094,50.262229
2025-758437,2025-09-17,Vente,62000,25,AV DE L ABBE JEAN DE BECO,59365000AH0580,Maison,134,3.95614,50.266418
2025-758465,2025-09-15,Vente,106000,17,RUE CLAUDE DEBUSSY,59365000AI0415,Maison,88,3.95553,50.260599
2025-758494,2025-09-15,Vente,214500,230,RTE D AVESNES,59365000AK0179,Maison,120,3.95922,50.258943
2025-758494,2025-09-15,Vente,214500,230,RTE D AVESNES,59365000AK0179,Maison,120,3.95922,50.258943
2025-758585,2025-09-30,Vente,88000,16,RUE MAURICE RAVEL,59365000AI0441,Maison,82,3.954481,50.260102
2025-758612,2025-09-30,Vente,92300,25,RUE JEAN MARIE GACHOT,59365000AH0429,Maison,77,3.959833,50.263373
2025-758907,2025-09-25,Vente,96750,1,RUE JEAN MARIE GACHOT,59365000AH0788,Appartement,22,3.960649,50.262684
2025-758907,2025-09-25,Vente,96750,1,RUE JEAN MARIE GACHOT,59365000AH0788,Appartement,82,3.960649,50.262684
2025-758913,2025-10-06,Vente,109000,18,RUE DU GAZOMETRE,59365000AD0090,Maison,109,3.961615,50.272455
2025-758970,2025-09-25,Vente,55000,1044,RES JULES GALLOIS RUE JULES GA,59365000AE0520,Appartement,49,3.964851,50.268882
2025-759055,2025-10-10,Vente,62000,155,RTE D AVESNES,59365000AK0171,Maison,73,3.960566,50.260336
2025-759211,2025-08-29,Vente,77750,12,RUE BERTRAND,59365000AE0364,Maison,138,3.962833,50.265795
2025-759318,2025-10-16,Vente,113400,23,RUE PASTEUR,59365000AH0504,Maison,85,3.958604,50.264025
2025-759318,2025-10-16,Vente,113400,21,RUE PASTEUR,59365000AH0506,Maison,65,3.958541,50.264086
2025-759456,2025-09-12,Vente,30000,11,RUE DU ROUGE BONNET,59365000AI0684,Maison,88,3.957965,50.263358
2025-760075,2025-11-03,Vente,20000,50,RUE DES ACIERIES,59365000AB0113,Maison,99,3.93216,50.258062
2025-760156,2025-10-24,Vente,50000,4,RUE DES ACIERIES,59365000AB0557,Maison,67,3.932967,50.256969
2025-760343,2025-10-09,Vente,50000,200,RUE JULES GALLOIS,59365000AI0126,Maison,40,3.956231,50.263706
2025-760399,2025-11-17,Vente,102200,7,RUE JEAN JAURES,59365000AH0048,Maison,61,3.957514,50.265121
2025-760399,2025-11-17,Vente,102200,9,RUE JEAN JAURES,59365000AH0051,Maison,80,3.957744,50.265217
2025-760752,2025-11-28,Vente,130000,46,RUE PASTEUR,59365000AI1024,Maison,79,3.958962,50.262434
2025-760787,2025-12-03,Vente,50000,93,RTE D AVESNES,59365000AH0347,Maison,76,3.961966,50.263282
2025-760834,2025-11-13,Vente,58000,55,RUE JULES GALLOIS,59365000AE0163,Appartement,57,3.962036,50.267396
2025-760839,2025-11-28,Vente,10000,209,RUE JULES GALLOIS,59365000AI0301,Maison,32,3.954425,50.262323
2025-761029,2025-12-05,Vente,58000,55,RUE JULES GALLOIS,59365000AE0163,Appartement,51,3.962036,50.267396
2025-761156,2025-12-11,Vente,636788.02,81,RUE D HAUTMONT,59365000AC0164,Maison,57,3.950478,50.26911
2025-761446,2025-11-19,Vente,117000,5,RUE BEETHOVEN,59365000AI0332,Maison,82,3.955209,50.261784
2025-761571,2025-12-10,Vente,70000,71,RUE RENE VICAINE,593650000B0969,Maison,107,,
2025-762030,2025-12-19,Vente,72000,39,RUE BEETHOVEN,59365000AI0364,Maison,82,3.955078,50.260894
