id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-751463,2025-01-29,Vente,106500,4,RUE GEORGES CLEMENCEAU,595060000A0039,Maison,86,3.530514,50.20496
2025-753571,2025-04-14,Vente,98000,16,RUE DE VERTIGNEUL,595060000A0134,Maison,73,3.534518,50.200874
2025-754714,2025-04-22,Vente,200000,6,RUE GEORGES CLEMENCEAU,595060000A0033,Maison,173,3.531786,50.20439
2025-755703,2025-06-21,Vente,78000,1,RUE GEORGES CLEMENCEAU,595060000A0049,Maison,98,3.531016,50.205011
2025-760431,2025-11-04,Vente,233071,6,RUE LOUIS PASTEUR,595060000A0062,Maison,92,3.531776,50.204015
2025-761272,2025-12-09,Vente,316020,30,RUE DE SOLESMES,595060000A0252,Maison,300,3.525648,50.202413
2024-709271,2024-02-22,Vente,70000,5,HAM DE VERTIGNEUL,59506000ZD0075,Maison,212,3.548428,50.193886
2024-709416,2024-02-20,Vente,265000,25,RUE DU QUESNOY,595060000A1146,Maison,198,3.532422,50.202854
2024-713544,2024-07-10,Vente,140000,9,RUE DE VERTIGNEUL,595060000A0871,Maison,74,3.533822,50.201644
2024-714083,2024-07-11,Vente,144400,2,RUE DE L ERMITAGE,595060000A0177,Maison,133,3.531336,50.199625
2024-715592,2024-09-27,Vente,220250,3,RUE PAUL BISIAU,59506000ZB0062,Maison,123,3.535227,50.203548
2024-715592,2024-09-27,Vente,220250,3,RUE PAUL BISIAU,59506000ZB0062,Maison,123,3.535227,50.203548
2024-716599,2024-10-31,Vente,215000,5002,HAM DE VERTIGNEUL,59506000ZI0102,Maison,167,3.546697,50.195874
2024-716599,2024-10-31,Vente,215000,5002,HAM DE VERTIGNEUL,59506000ZI0102,Maison,167,3.546697,50.195874
2024-718839,2024-12-26,Vente,177000,1,RUE DE LA CHAISERIE,595060000A0129,Maison,94,3.533351,50.200241
2023-785873,2023-01-18,Vente,102000,8,HAM DE VERTIGNEUL,59506000ZI0070,Maison,106,3.546,50.196161
2023-785873,2023-01-18,Vente,102000,8,HAM DE VERTIGNEUL,59506000ZI0070,Maison,106,3.546,50.196161
2023-788658,2023-05-15,Vente,109900,12,RUE DU QUESNOY,595060000A0201,Maison,112,3.531745,50.202045
2023-793578,2023-10-20,Vente,9000,5002,HAM DE VERTIGNEUL,59506000ZI0101,Maison,167,3.547274,50.195512
2023-793607,2023-09-29,Vente,195000,5,RUE DU CATEAU,595060000A1224,Maison,160,3.531447,50.201756
2023-795139,2023-12-08,Vente,133000,2,RUE DE LA CHAISERIE,595060000A0154,Maison,140,3.532342,50.200773
2022-969427,2022-01-20,Vente,218000,18,RUE DU QUESNOY,595060000A1174,Maison,106,3.533218,50.202796
2022-969468,2022-02-02,Vente,53000,22,RUE DE VERTIGNEUL,595060000A0122,Maison,113,3.534868,50.200628
2022-970065,2022-04-06,Vente,102000,1,RUE DES ECOSSAIS,595060000A0228,Maison,106,3.528811,50.202572
2022-974206,2022-06-27,Vente,212350,34,RUE DE SOLESMES,59506000ZH0060,Maison,110,3.524481,50.201738
2022-974206,2022-06-27,Vente,212350,34,RUE DE SOLESMES,59506000ZH0060,Maison,110,3.524481,50.201738
2022-976689,2022-08-25,Vente,119000,7,RUE DU CATEAU,595060000A0151,Maison,100,3.531681,50.201031
2022-979119,2022-10-27,Vente,211500,6,RUE DE VERTIGNEUL,595060000A1012,Maison,78,3.533476,50.200924
2022-979119,2022-10-27,Vente,211500,6,RUE DE VERTIGNEUL,595060000A1012,Maison,78,3.533476,50.200924
