id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-720927,2025-01-31,Vente,135000,59,RUE HUBERT RAOUT,59224000ZB0669,Maison,104,3.212584,50.271012
2025-720929,2025-01-17,Vente,1500,24,RUE VOLCKCRICK,592240000C0995,Maison,44,3.210699,50.262733
2025-720929,2025-01-17,Vente,1500,24,RUE VOLCKCRICK,592240000C0995,Maison,31,3.210699,50.262733
2025-720933,2025-01-29,Vente,95000,52,RUE DES FRERES MARTEL,592240000A0961,Maison,95,3.217865,50.26481
2025-721792,2025-02-05,Vente,132000,29,RUE PAUL CHANTREAU,592240000A1103,Maison,80,3.220605,50.264365
2025-722156,2025-02-13,Vente,57000,99,RUE JULES DOMISE,592240000A0394,Maison,93,3.220208,50.267079
2025-722764,2025-02-20,Vente,196000,9,RUE HUBERT RAOUT,59224000ZB0194,Maison,94,3.214236,50.26772
2025-723333,2025-03-14,Vente,246500,350,RUE JULES DOMISE,592240000A1518,Maison,130,3.223692,50.267325
2025-725561,2025-04-08,Vente,231000,38,RUE DES FRERES MARTEL,592240000A1606,Maison,92,3.216517,50.263579
2025-725561,2025-04-08,Vente,231000,38,RUE DES FRERES MARTEL,592240000A1606,Maison,55,3.216517,50.263579
2025-726639,2025-04-29,Vente,135000,43,RUE DES PRIMEVERES,59224000ZB0779,Maison,72,3.212803,50.273979
2025-728458,2025-05-28,Vente,137000,22,RUE PAUL CHANTREAU,592240000A1054,Maison,97,3.219161,50.26537
2025-729449,2025-06-10,Vente,90000,18,RUE MAURICE FACON,592240000B0382,Maison,65,3.208032,50.266221
2025-729685,2025-06-16,Vente,157000,29,RUE DES PRIMEVERES,59224000ZB0772,Maison,116,3.211822,50.273816
2025-729807,2025-06-06,Vente,85000,125,RUE JULES DOMISE,592240000A1599,Maison,86,3.220383,50.26718
2025-729858,2025-06-20,Vente,260000,19,RUE HUBERT RAOUT,59224000ZB0199,Maison,134,3.214103,50.268037
2025-731617,2025-06-30,Vente,210000,8,RUE HUBERT RAOUT,59224000ZB0224,Maison,139,3.215018,50.267311
2025-732440,2025-07-16,Vente,271700,29,RUE MAURICE FACON,592240000B0434,Maison,127,3.205567,50.265125
2025-732440,2025-07-16,Vente,271700,29,RUE MAURICE FACON,592240000B0434,Maison,127,3.205567,50.265125
2025-733110,2025-08-06,Vente,145000,64,RUE DES FRERES MARTEL,592240000A0897,Maison,82,3.218301,50.265826
2025-734544,2025-08-26,Vente,99360,62,RUE PIERRE BOCHU,59224000ZB0176,Maison,93,3.209309,50.270031
2025-736096,2025-08-29,Vente,173000,38,RUE DE LA PIERRE AU BEURRE,59224000ZA0285,Maison,75,3.207082,50.269161
2025-740118,2025-10-31,Vente,152900,16,RUE MAURICE FACON,592240000B0376,Maison,89,3.208483,50.266333
2025-740314,2025-11-12,Vente,140500,59,RUE JEAN BAPTISTE HOSSELET,592240000B0606,Maison,77,3.203493,50.263617
2025-740403,2025-11-14,Vente,10000,5468,RUE DU MARAIS,592240000C0461,Maison,18,3.214166,50.260481
2025-740403,2025-11-14,Vente,10000,5468,RUE DU MARAIS,592240000C0461,Maison,18,3.214166,50.260481
2025-741500,2025-11-28,Vente,160000,5,RUE DE L'EGALITE,592240000A0462,Maison,129,3.216104,50.266858
2025-741544,2025-11-28,Vente,203500,1,RUE DES JONQUILLES,59224000ZB0794,Maison,114,3.212312,50.273004
2025-741577,2025-11-24,Vente,95000,125,RUE JULES DOMISE,592240000A1597,Maison,180,3.220436,50.267228
2025-741678,2025-12-04,Vente,152500,16,RUE LUCIEN DUPAS,592240000A1094,Maison,86,3.221656,50.264436
2025-741693,2025-10-10,Vente,500000,15,RUE LOUIS CHANTREAU,592240000A1620,Maison,192,3.211895,50.266423
2025-742844,2025-12-22,Vente,70000,12,RUE ALFRED MERLIOT,592240000A0841,Maison,52,3.216086,50.265883
2025-742844,2025-12-22,Vente,70000,12,RUE ALFRED MERLIOT,592240000A0841,Maison,10,3.216086,50.265883
2025-742994,2025-12-22,Vente,15000,5431,RUE DU MARAIS,592240000C0302,Maison,10,3.208841,50.262456
2025-742994,2025-12-22,Vente,15000,5431,RUE DU MARAIS,592240000C0302,Maison,10,3.208841,50.262456
2025-744157,2025-12-29,Vente,142950,39,RUE DES PRIMEVERES,59224000ZB0777,Maison,101,3.212523,50.273952
2024-681593,2024-02-09,Vente,6500,10,RUE DU MARAIS,592240000C0434,Maison,15,3.213504,50.262834
2024-683164,2024-02-22,Vente,43500,14,RUE ALFRED MERLIOT,592240000A0840,Maison,70,3.215987,50.266106
2024-684793,2024-04-15,Vente,50000,12,RUE DU MARAIS,592240000C0611,Maison,104,3.219877,50.263248
2024-686295,2024-05-14,Vente,208000,24,RUE HUBERT RAOUT,59224000ZB0216,Maison,106,3.214167,50.269146
2024-687035,2024-05-21,Vente,65000,36,RUE PAUL CHANTREAU,592240000A1061,Maison,98,3.220161,50.26478
2024-689224,2024-06-06,Vente,17676.52,5421,RUE DU MARAIS,592240000C1065,Maison,7,3.209009,50.261543
2024-689224,2024-06-06,Vente,17676.52,5421,RUE DU MARAIS,592240000C1065,Maison,14,3.209009,50.261543
2024-689224,2024-06-06,Vente,17676.52,5421,RUE DU MARAIS,592240000C1065,Maison,32,3.209009,50.261543
2024-689224,2024-06-06,Vente,17676.52,5421,RUE DU MARAIS,592240000C1065,Maison,18,3.209009,50.261543
2024-689224,2024-06-06,Vente,17676.52,5421,RUE DU MARAIS,592240000C1065,Maison,13,3.209009,50.261543
2024-689224,2024-06-06,Vente,17676.52,5421,RUE DU MARAIS,592240000C1065,Maison,30,3.209009,50.261543
2024-689224,2024-06-06,Vente,17676.52,5421,RUE DU MARAIS,592240000C1065,Maison,29,3.209009,50.261543
2024-689225,2024-06-06,Vente,3073.48,5683,RUE DU MARAIS,592240000C1042,Maison,9,3.209214,50.261526
2024-690146,2024-07-11,Vente,127000,16,RUE JEAN BAPTISTE HOSSELET,592240000B0485,Maison,121,3.20857,50.264366
2024-690377,2024-07-08,Vente,15000,5620,RUE DU MARAIS,592240000C0876,Maison,17,3.203619,50.261723
2024-691713,2024-07-30,Vente,125000,29,RUE HUBERT RAOUT,59224000ZB0204,Maison,75,3.213418,50.268956
2024-692165,2024-07-23,Vente,108000,41,RUE LUCIEN DUPAS,592240000A1331,Maison,92,3.223135,50.265083
2024-692809,2024-07-31,Vente,34000,5443,RUE DU MARAIS,592240000C0954,Maison,25,3.210221,50.262175
2024-692962,2024-08-02,Vente,79500,11,RUE LUCIEN DUPAS,592240000A1259,Maison,99,3.221177,50.265131
2024-694510,2024-09-10,Vente,184000,54,RUE DES FRERES MARTEL,592240000A1147,Maison,126,3.217771,50.265089
2024-696616,2024-09-30,Vente,36000,99,RUE JULES DOMISE,592240000A0394,Maison,93,3.220208,50.267079
2024-699674,2024-12-09,Vente,10000,5387,RUE DU MARAIS,592240000C0205,Maison,55,3.205791,50.2622
2024-699847,2024-12-06,Vente,208920,7,RUE DES MOUETTES,59224000ZB0708,Maison,96,3.209983,50.27043
2024-701971,2024-12-30,Vente,66000,10,RUE PAUL CHANTREAU,592240000A1044,Maison,79,3.219369,50.265797
2024-702290,2024-12-30,Vente,130000,22,RUE PAUL CHANTREAU,592240000A1054,Maison,97,3.219161,50.26537
2023-757729,2023-02-10,Vente,310000,9,RUE VOLCKCRICK,592240000A1443,Maison,140,3.211291,50.264026
2023-757729,2023-02-10,Vente,310000,9,RUE VOLCKCRICK,592240000A1443,Maison,140,3.211291,50.264026
2023-759475,2023-03-08,Vente,90000,41,RUE JEAN BAPTISTE HOSSELET,592240000B0547,Maison,113,3.205089,50.263454
2023-760557,2023-03-17,Vente,45000,46,RUE PAUL CHANTREAU,592240000A1399,Maison,37,3.219283,50.264253
2023-760568,2023-03-13,Vente,43000,46,RUE PAUL CHANTREAU,592240000A1397,Maison,37,3.218926,50.264546
2023-760573,2023-03-15,Vente,40100,46,RUE PAUL CHANTREAU,592240000A1398,Maison,37,3.219083,50.264422
2023-760577,2023-03-15,Vente,41000,54,RUE DES FRERES MARTEL,592240000A1394,Maison,37,3.217992,50.265041
2023-761885,2023-04-11,Vente,216000,4,RUE PAUL CHANTREAU,592240000A0889,Maison,93,3.218862,50.266143
2023-762105,2023-04-13,Vente,7500,5,5 RAZIERES DU BOIS DU SEIG,592240000C0949,Maison,14,3.210158,50.262643
2023-762283,2023-04-18,Vente,110000,5,RUE ALFRED MERLIOT,592240000A1244,Maison,81,3.215392,50.266431
2023-771738,2023-08-31,Vente,185000,36,RUE DE L'EGALITE,592240000A1530,Maison,78,3.216866,50.266741
2023-773393,2023-09-19,Vente,340000,33,RUE DES FRERES MARTEL,592240000A0872,Maison,147,,
2023-774581,2023-10-21,Vente,39500,22,RUE JEAN BAPTISTE HOSSELET,592240000B0480,Maison,45,3.208319,50.264254
2023-775293,2023-10-27,Vente,121510,5,RUE JULES DOMISE,592240000A0407,Maison,63,3.219103,50.267062
2023-775835,2023-10-27,Vente,106500,11,RUE PIERRE BOCHU,592240000B0395,Maison,66,3.210064,50.266172
2023-776190,2023-11-15,Vente,10000,5684,RUE DU MARAIS,592240000C0775,Maison,10,3.210598,50.25977
2023-776190,2023-11-15,Vente,10000,5684,RUE DU MARAIS,592240000C0775,Maison,10,3.210598,50.25977
2023-776539,2023-12-05,Vente,109000,60,RUE DES FRERES MARTEL,592240000A0954,Maison,75,3.218099,50.265483
2023-776549,2023-12-04,Vente,109000,4,RUE VOLCKCRICK,592240000B0503,Maison,100,3.210358,50.264686
2023-777347,2023-12-12,Vente,313300,7,RUE DES ROSSIGNOLS,59224000ZB0634,Maison,134,3.210044,50.269928
2023-778245,2023-12-13,Vente,216000,20,RUE DES MOUETTES,59224000ZB0586,Maison,100,3.208685,50.27086
2023-778571,2023-12-18,Vente,155100,4,RUE DES MOUETTES,59224000ZB0578,Maison,89,3.210362,50.271053
2022-930569,2022-01-27,Vente,120100,366,RUE JULES DOMISE,592240000A1069,Maison,90,3.223967,50.267276
2022-931926,2022-02-08,Vente,70000,34,RUE JEAN BAPTISTE HOSSELET,592240000B0468,Maison,60,3.206397,50.263843
2022-933952,2022-03-18,Vente,140000,28,RUE ALFRED MERLIOT,592240000A0882,Maison,62,3.217258,50.266348
2022-934222,2022-03-07,Vente,34270,5666,RUE DU MARAIS,592240000C0507,Maison,12,,
