id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-15638,2025-03-07,Vente,135000,31,RUE DU CHATEAU D'EAU,02376000ZB0077,Maison,86,3.522368,49.881156
2025-16033,2025-03-25,Vente,286000,38,RUE DU CHATEAU D'EAU,02376000ZB0146,Maison,180,3.521561,49.882056
2025-20252,2025-08-21,Vente,62000,28,RUE DU CHATEAU D'EAU,02376000AB0127,Maison,64,3.521688,49.880783
2024-20749,2024-11-13,Vente,135000,25,GR GRANDE RUE,02376000ZA0078,Maison,98,3.519459,49.875682
2023-19622,2023-07-07,Vente,40000,1,RUE DE LA POTERIE,02376000AB0061,Maison,80,3.521789,49.877247
2022-17457,2022-01-05,Vente,58780,33,RUE DU CHATEAU D'EAU,02376000ZB0076,Maison,56,3.522285,49.881308
