id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-14458,2025-01-17,Vente,145000,21,RUE DU MAL FOCH,02382000AB0138,Maison,128,3.216536,49.857737
2025-14546,2025-01-27,Vente,313000,38,RUE HENRI DEFRANCE,02382000ZM0276,Maison,86,3.208228,49.855546
2025-15575,2025-03-06,Vente,343000,23,RUE GEORGES CLEMENCEAU,02382000AB0120,Maison,179,3.21073,49.858995
2025-15687,2025-03-18,Vente,108350,1,RUE DU LIMOUSIN,02382000AC0527,Maison,101,3.211775,49.86167
2025-15814,2025-03-14,Vente,132920,13,RUE DE BOURGOGNE,02382000ZM0078,Maison,83,3.210975,49.85592
2025-16162,2025-03-17,Vente,230000,2,RUE DES MESANGES,02382000AC0492,Maison,137,3.214517,49.862945
2025-16198,2025-03-28,Vente,270700,20,RUE D'AQUITAINE,02382000ZM0381,Maison,125,3.208927,49.854129
2025-18583,2025-06-27,Vente,92000,4,RUE D ARTOIS,02382000AC0353,Maison,70,3.217124,49.858886
2025-18847,2025-07-09,Vente,158000,15,RUE DE CHAMPAGNE,02382000AC0339,Maison,118,3.216555,49.85931
2025-19767,2025-07-25,Vente,205000,11,RUE DU MAL FOCH,02382000AB0042,Maison,132,3.214555,49.858005
2025-19767,2025-07-25,Vente,205000,11,RUE DU MAL FOCH,02382000AB0042,Maison,132,3.214555,49.858005
2025-20093,2025-08-25,Vente,311500,41,RUE GEORGES CLEMENCEAU,02382000AB0136,Maison,151,3.20831,49.859465
2024-13346,2024-01-30,Vente,280000,4,RUE GEORGES CLEMENCEAU,02382000AC0376,Maison,200,3.212069,49.859441
2024-13346,2024-01-30,Vente,280000,4,RUE GEORGES CLEMENCEAU,02382000AC0376,Maison,200,3.212069,49.859441
2024-13441,2024-02-09,Vente,240000,27,RUE DE SAVOIE,02382000AC0469,Maison,130,3.212259,49.86402
2024-14935,2024-03-29,Vente,80000,6,RUE DU MAL FOCH,02382000AC0086,Maison,58,3.214033,49.858897
2024-16867,2024-06-15,Vente,197500,26,RUE DE SAVOIE,02382000AC0451,Maison,117,3.213117,49.864181
2024-16867,2024-06-15,Vente,197500,26,RUE DE SAVOIE,02382000AC0451,Maison,117,3.213117,49.864181
2024-18954,2024-08-27,Vente,115000,1,RUE WALLON SATIZELLE,02382000AC0529,Maison,123,3.215048,49.861297
2024-19056,2024-08-30,Vente,350000,1,RUE DE PICARDIE,02382000AC0297,Maison,169,3.218154,49.8623
